0,1,2,3,4
S/N NAME,SHAREHOLDING AS,SHAREHOLDING AS,SHAREHOLDING AS,SHAREHOLDING AS
,AT 31 DECEMBER 2023,AT 31 DECEMBER 2023,AT 31 DECEMBER 2022,AT 31 DECEMBER 2023
,(DI-,(IN-,(DI-,(IN-
,RECT),DIRECT),RECT),DIRECT)
,"69,090,000 600,000",,,
,"6,327,114 NIL",,,
3. Alhaji Yusufu Modibbo,"621,218 1,198,050",,"621,218 1,198,050",
,"10,000,000 0",,,
5 Mr. Tomiwa Aladekomo,"940,000 400,000",,"940,000 400,000",
6. Mrs. Olamojiba Bakare,NIL NIL,,NIL NIL,
7. Dr. Mohammed Santuraki,"3,000,000 NIL",,"3,000,000 NIL",
,"NIL 10,000,000",,,
9. Mr. Dumebi Obodo,"1,000,0000 NIL",,"1,000,000 NIL",
10. Mr. Mohammed Bashir Yunusa,NIL NIL,,NIL NIL,
