0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Group,,,,,,,,,,,,,
,In thousands of Nigerian Naira,,,Dec-23,,,Dec-23,,,,,,,
,,,,Pre-tax,,,Post-tax,,,,,,,
,Decrease,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,
,Cash and bank balances,,,"(9,426,895)",,,"(7,359,577)",,,"(3,941,098)",,,"(3,076,815)",
,Loans and advances to banks,,,"(1,610,844)",,,"(1,257,586)",,,"(1,244,986)",,,"(971,960)",
,Loans and advances to customers,,,"(22,978,852)",,,"(17,939,590)",,,"(18,433,642)",,,"(14,391,144)",
,Financial assets held for trading,,,"(1,071,038)",,,"(836,159)",,,"(2,310,543)",,,"(1,803,841)",
,Investment securities,,,"(22,060,645)",,,"(17,222,746)",,,"(11,293,583)",,,"(8,816,900)",
,Assets pledged as collateral,,,"(856,809)",,,"(668,911)",,,"(755,830)",,,"(590,077)",
,,,,"(58,005,083)",,,"(45,284,568)",,,"(37,979,682)",,,"(29,650,738)",
,Liabilities,,,,,,,,,,,,,
,Deposits from banks,,,"66,016",,,"51,539",,,"65,143",,,"50,857",
,Deposits from customers,,,"13,545,935",,,"10,575,311",,,"11,388,155",,,"8,890,733",
,Financial liabilities held for trading,,,"112,822",,,"88,080",,,"41,718",,,"32,569",
,Debt Securities,,,-,,,-,,,-,,,-,
,Other borrowed funds,,,"1,060,803",,,"828,169",,,"1,267,472",,,"989,515",
,,,,"14,785,576",,,"11,543,099",,,"12,762,488",,,"9,963,674",
,Total,,,"(43,219,508)",,,"(33,741,470)",,,"(25,217,194)",,,"(19,687,063)",
,,,,,,,,,,,,,,
,Increase,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,
,Cash and bank balances,,,"9,426,895",,,"7,359,577",,,"3,941,098",,,"3,076,815",
,Loans and advances to banks,,,"1,610,844",,,"1,257,586",,,"1,244,986",,,"971,960",
,Loans and advances to customers,,,"22,978,852",,,"17,939,590",,,"18,433,642",,,"14,391,144",
,Financial assets held for trading,,,"1,071,038",,,"836,159",,,"2,310,543",,,"1,803,841",
,Investment securities,,,"22,060,645",,,"17,222,746",,,"11,293,583",,,"8,816,900",
,Assets pledged as collateral,,,"856,809",,,"668,911",,,"755,830",,,"590,077",
,,,,"58,005,083",,,"45,284,568",,,"37,979,682",,,"29,650,738",
,Liabilities,,,,,,,,,,,,,
,Deposits from banks,,,"(66,016)",,,"(51,539)",,,"(65,143)",,,"(50,857)",
,Deposits from customers,,,"(13,545,935)",,,"(10,575,311)",,,"(11,388,155)",,,"(8,890,733)",
,Financial liabilities held for trading,,,"(112,822)",,,"(88,080)",,,"(41,718)",,,"(32,569)",
,Debt securities,,,-,,,-,,,-,,,-,
,Other borrowed funds,,,"(1,060,803)",,,"(828,169)",,,"(1,267,472)",,,"(989,515)",
,,,,"(14,785,576)",,,"(11,543,099)",,,"(12,762,488)",,,"(9,963,674)",
Total,,,,,,,,,,,,,,
,,,,"43,219,508",,,"33,741,470",,,"25,217,194",,,"19,687,063",
