0,1,2,3,4,5,6,7,8
,,Support for LLS 2023 Annual Charity Event,,,,,"5,000 Participants",
,,Supported the cause championed by the Lebanese Ladies,,,,,,
,,Society of Nigeria,,,,,,
,Support for Annual Experience Concert,Support for Annual Experience Concert,,,,,,"100,000"
,,,,,,,,Participants
,,Massey Street Children's Hospital Yuletide Visit,,,,,200 Participants,200 Participants
,,A yuletide visit to the Children's hospital on Christmas day,,,,,,
,,to share the joy of the festive season.,,,,,,
Education,,Support for British International School Charity Fun Day,,,,,"1,000 participants",
,,Support for extracurricular culture activities.,,,,,,
,,Support for Doveland International School Annual,,,,,300 participants,
,,Graduation Ceremony,,,,,,
,,Support for Raberto school graduation ceremony,,,,,,
,,Support for Mary Travis School 50th Anniversary,,,,,"1,200 participants",
,,Support for Greenwood school international house sport,,,,,"1,200 participants",
,,Support for Jesuit memorial college,,,,,"1,200 participants",
,,"Support for ""The Lagoon Schools"" Annual Funday Event",,,,,"1,500 participants",
,,Support for Mountain Top University Convocation,,,,,"1,000 participants",
Others,Support for Annual Conference of ICSAN,,,,,,300 participants,
,,Contribution to the 16th Annual Banking and Finance,,,,,"10,00 participants",
,,Conference,,,,,,
,GTCO support for CIBN 2023 Investiture,,,,,,"1,500 participants",
,Support for 7th Abuja Cardiovascular Symposium,,,,,,700 participants,
,Support towards Nigeria electronic fraud forum,,,,,,"1,500 participants",
,Contribution for 58th Annual Bankers Conference,,,,,,300 participants,
