0,1,2,3,4,5,6,7,8,9,10,11,12
,LIST OF AGENTS AND LOCATIONS,,,,,,,,,,,
,S/N,,,NAME,,,LOCATION,,,,,
1,,,DE PRINCE SUPERMARKET,,,"3A ADEJOKUN STREET, ISHERI-MAGODO",,,,,,
,2,,,JENDOL SUPERSTORES,,,"KM 1 OPPOSITE KASOLORI ESTATE, ITOKIN RD, IKORODU",,,,,
"SELECT DEALER OWNED FILLING STATIONS IN LAGOS TRADING
UNDER ARDOVA PLC.",,,,,,,,,,,,
3,,,,FADE-ZARF INVESTMENT LTD AJIWE-AJAH (BRANDED,,"BLOCK A, PLOT 7, BUDO FARM LAYOUT, AJIWE-AJAH LAGOS",,,,,,
,,,,ARDOVA),,,,,,,,
4,,,MERIT PETROLEUM LTD IDIMU (BRANDED ARDOVA),,,"222 EGBEDA-IDIMU ROAD, CARWASH BUS-STOP, IDIMU",,,,,,
5,,,,TAFMAH OIL AND GAS LTD MILE 12 BUS-STOP LAGOS,,"MILE 12 BUS-STOP, KETU ALAPERE LAGOS",,,,,,
,,,,(BRANDED ARDOVA),,,,,,,,
SELECT SWIFT OIL AND GAS FILLING STATIONS IN OGUN STATE,,,,,,,,,,,,
,6,,,SWIFT OIL & GAS IYANA-IYESI SANGO-TTA,,,"IYANA IYESI ROAD, SANGO OTTA",,,,,
7,,,SWIFT OIL & GAS ILOAWELA SANGO-OTTA,,,"11, ILO AWELA ROAD, SANGO OTTA",,,,,,
,SELET TOTAL ENERGIES FILLING STATIONS IN PORT-HARCOURT,,,,,,,,,,,
8,,,TOTAL TRANSAMADI PH,,,"SLAUGHTER MARKET ROAD, TRANSAMADI INDUSTRIAL
LAYOUT PORT-HARCOURT.",,,,,,
,SELET TOTAL ENERGIES FIILLING STATIONS IN LAGOS,,,,,,,,,,,
9,,,"TOTAL, SURA - LAGOS ISLAND",,,"4 SIMPSON STREET BESIDE SURA SHOPPING COMPLEX, LAGOS
ISLAND",,,,,,
,10,,,TOTAL LAKOWE LAKES AJAH,,,LAKOWE LAKES AJAH.,,,,,
11,,,"TOTAL STATION, MM WAY, EBUTE METTA",,,"150/152 MM WAY, EBUTE METTA LAGOS.",,,,,,
,12,,,"TOTAL STATION, ITIRE",,,"23/25 ITIRE RD, LAWANSON LAGOS",,,,,
13,,,TOTAL OJOTA,,,IKORODU ROAD OJOTA BUS-STOP LAGOS,,,,,,
,14,,,TOTAL IGBOBI ONIPANU,,,"136/138 IKORODU-OSOSUN RD, ONIPANU 102216, LAGOS",,,,,
SELET TOTAL ENERGIES FILLING STATIONS IN IBADAN,,,,,,,,,,,,
,15,,,TOTAL ELEYELE IBADAN,,,"JERICHO RD. IBADAN, ALONG ONIREKE/JERICHO RD",,,,,
SELECT TOTAL ENERGIES FILLING STATIONS IN ABUJA,,,,,,,,,,,,
,16,,,TOTAL KURUDU ABUJA,,,"OPPOSITE ARMY ESTATE, KARSHI ROAD ABUJA",,,,,
17,,,TOTAL NEW KARU ABUJA,,,KM 20 ABUJA KEFFI ROAD ABUJA,,,,,,
,18,,,"TOTAL MARARABA 2, ABUJA",,,"ABUJA KEFFI ROAD, MARARABA, ABUJA",,,,,
