0,1,2,3,4,5,6
Share Range,,,"Number of
Shareholders","% of
Shareholder","Number of
Holdings",% Shareholding
1,-,"10,000","256,103",77.0015,"751,145,519",2.5522
"10,001",-,"50,000","56,674",17.0399,"1,229,190,363",4.1765
"50,001",-,"100,000","9,094",2.7343,"644,348,718",2.1893
"100,001",-,"500,000","8,241",2.4778,"1,712,841,718",5.8198
"500,001",-,"1,000,000","1,116",0.3355,"785,726,249",2.6697
"1,000,001",-,"5,000,000","1,032",0.3103,"2,055,236,890",6.9832
"5,000,001",-,"10,000,000",139,0.0418,"941,052,860",3.1975
"10,000,001",-,"50,000,000",127,0.0382,"2,753,889,965",9.3570
"50,000,001",-,"100,000,000",27,0.0081,"1,997,582,493",6.7873
"100,000,001",-,"500,000,000",32,0.0096,"5,850,613,485",19.8790
"500,000,001",-,"1,000,000,000",4,0.0012,"3,074,653,127",10.4469
"1,000,000,001",-,"2,000,000,000",5,0.0015,"6,280,049,450",21.3381
SUB TOTAL: -,,,"332,594",99.9997,"28,076,330,837",95.3965
GTCO GDR UNDERLYING SHARES,,,1,0.0003,"1,354,848,387",4.6034
,,,,,,
TOTAL,,,"332,595",100.00,"29,431,179,224",100.00
