0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Group,,,,,,,,,,,,,
,In thousands of Nigerian Naira,,,Dec-24,,,Dec-24,,,,,,,
,,,,Pre-tax,,,Post-tax,,,,,,,
,Decrease,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,
,Cash and bank balances,,,"(33,421,642)",,,"(29,651,275)",,,"(9,426,895)",,,"(7,359,577)",
,Loans and advances to banks,,,"(1,443)",,,"(1,280)",,,"(1,610,844)",,,"(1,257,586)",
,Loans and advances to customers,,,"(37,403,110)",,,"(33,183,586)",,,"(22,978,852)",,,"(17,939,590)",
,Financial assets held for trading,,,"(471,077)",,,"(417,934)",,,"(1,071,038)",,,"(836,159)",
,Investment securities,,,"(36,509,673)",,,"(32,390,939)",,,"(22,060,645)",,,"(17,222,746)",
,Assets pledged as collateral,,,"(1,106,736)",,,"(981,883)",,,"(856,809)",,,"(668,911)",
,,,,"(108,913,681)",,,"(96,626,896)",,,"(58,005,083)",,,"18
(45,284,568)",4
,Liabilities,,,,,,,,,,,,,
