0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,Deposits from banks,,,,,,,,,,,,"63,336",,,"56,191",,,"66,016",,,"51,539",
,Deposits from customers,,,,,,,,,,,,"20,211,709",,,"17,931,583",,,"13,545,935",,,"10,575,311",
,Financial liabilities held for trading,,,,,,,,,,,,"63,250",,,"56,115",,,"112,822",,,"88,080",
,Debt Securities,,,,,,,,,,,,-,,,-,,,-,,,-,
,Other borrowed funds,,,,,,,,,,,,"3,104,969",,,"2,754,691",,,"1,060,803",,,"828,169",
,,,,,,,,,,,,,"23,443,264",,,"20,798,580",,,"14,785,576",,,"11,543,099",
,Total,,,,,,,,,,,,"(85,470,417)",,,"(75,828,317)",,,"(43,219,508)",,,"(33,741,470)",
,,,,,,,,,,,,,,,,,,,,,,,
,Increase,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,,
,Cash and bank balances,,,,,,,,,,,,"33,421,642",,,"29,651,275",,,"9,426,895",,,"7,359,577",
,Loans and advances to banks,,,,,,,,,,,,"1,443",,,"1,280",,,"1,610,844",,,"1,257,586",
,Loans and advances to customers,,,,,,,,,,,,"37,403,110",,,"33,183,586",,,"22,978,852",,,"17,939,590",
,Financial assets held for trading,,,,,,,,,,,,"471,077",,,"417,934",,,"1,071,038",,,"836,159",
,Investment securities,,,,,,,,,,,,"36,509,673",,,"32,390,939",,,"22,060,645",,,"17,222,746",
,Assets pledged as collateral,,,,,,,,,,,,"1,106,736",,,"981,883",,,"856,809",,,"668,911",
,,,,,,,,,,,,,"108,913,681",,,"96,626,896",,,"58,005,083",,,"45,284,568",
,Liabilities,,,,,,,,,,,,,,,,,,,,,,
,Deposits from banks,,,,,,,,,,,,"(63,336)",,,"(56,191)",,,"(66,016)",,,"(51,539)",
,Deposits from customers,,,,,,,,,,,,"(20,211,709)",,,"(17,931,583)",,,"(13,545,935)",,,"(10,575,311)",
,Financial liabilities held for trading,,,,,,,,,,,,"(63,250)",,,"(56,115)",,,"(112,822)",,,"(88,080)",
Debt securities,,,,,,,,,,,,-,,,-,,,,,,-,,
,,,,,,,,,,,,,,,,,,,-,,,,
,Other borrowed funds,,,,,,,,,,,,"(3,104,969)",,,"(2,754,691)",,,"(1,060,803)",,,"(828,169)",
,,,,,,,,,,,,,"(23,443,264)",,,"(20,798,580)",,,"(14,785,576)",,,"(11,543,099)",
,Total,,,,,,,,,,,,"85,470,417",,,"75,828,317",,,"43,219,508",,,"33,741,470",
