0,1,2,3,4,5,6,7,8,9,10,11
2024-Key Assumptions,,,West Africa,,,,,,,,
,,,Corporate Commercial Retail,,,,,,,,
,Revenue Growth Rate (%),,,37.50%,,,38.50%,,,39.00%,
Operating Income Growth Rate (%),,,40.02% 40.52% 42.02%,,,,,,,,
,,,,,,,,,,,
Other Operating Costs (₦'Million),,,"186,120 11,941 54,693",,,,,,,,
,Annual Capital Expenditure (₦'Million),,,"41,496",,,"2,662",,,"12,194",
,,,,,,,,,,,
,Recoverable Amount (₦'Million),,,"952,706",,,"61,122",,,"279,960",
,,,,,,,,,,,
Long Term Growth Rate (%),,,15%- 20%,,,15%- 20%,,,15%- 20%,,
Discount Rate (%),,,40.07% 40.07% 40.07%,,,,,,,,
2023-Key Assumptions,,,,,,,,,,,
,,,West Africa,,,,,,,,
,,,"Retail
Corporate Commercial",,,,,,,,
,Revenue Growth Rate (%),,,15.86%,,,16.86%,,,17.36%,
Operating Income Growth Rate (%),,,18.40% 18.90% 20.40%,,,,,,,,
,,,,,,,,,,,
Other Operating Costs (₦'Million),,,"27,667 2,088 8,652",,,,,,,,
,Capital Expenditure (₦'Million),,,"5,367",,,405,,,"1,678",
,,,,,,,,,,,
,Recoverable Amount (₦'Million),,,"210,091",,,"15,852",,,"65,699",
,,,,,,,,,,,
Long Term Growth Rate (%),,,15%- 20%,,,15%- 20%,,,15%- 20%,,
Discount Rate (%),,,34.75% 34.75% 34.75%,,,,,,,,
