0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
In thousands of Nigerian Naira,,,Asset under Management,,,,,,,,,Interest Held by the Group,,,,,
,Investment funds,,,Dec-24,,,Dec-23,,,,,,Dec-24,,,Dec-23,
,,,"47,886,680",,,"20,355,812",,,,,,,,,,,
,Guaranty Trust Investment Fund 724,,,"161,273",,,-,,,,,,"150,000",,,,
,,,"11,846,892",,,"11,164,911",,,,,,,,,,,
,Guaranty Trust Balanced Fund,,,"3,106,074",,,"2,776,814",,,,,,-,,,,-
,Guaranty Trust Dollar Fund,,,"77,300,768",,,"25,473,343",,,,,,"134,609",,,"119,373",
,Guaranty Trust Equity Income Fund,,,"618,453",,,"585,902",,,,,,"53,524",,,"40,914",
,,,-,,,0,,,,,,,,,,,
,,,"140,920,141",,,"60,356,784",,,,,,,,,,,
