0,1,2,3,4,5,6
Share Range,,,"Number of
Shareholders","% of
Shareholder","Number of
Holdings","%
Shareholding"
1,-,"10,000","263,498",77.8539,"755,627,242",2.5674
"10,001",-,"50,000","56,037",16.5569,"1,220,881,948",4.1483
"50,001",-,"100,000","8,828",2.6083,"629,810,400",2.1399
"100,001",-,"500,000","7,827",2.3126,"1,639,287,159",5.5699
"500,001",-,"1,000,000","1,027",0.3034,"724,048,404",2.4601
"1,000,001",-,"5,000,000",935,0.2763,"1,879,801,300",6.3871
"5,000,001",-,"10,000,000",132,0.039,"951,460,189",3.2328
"10,000,001",-,"50,000,000",109,0.0322,"2,336,138,996",7.9376
"50,000,001",-,"100,000,000",22,0.0065,"1,412,038,956",4.7978
"100,000,001",-,"500,000,000",26,0.0077,"5,593,907,815",19.0067
"500,000,001",-,"1,000,000,000",3,0.0009,"4,368,490,324",14.8431
"1,000,000,001",-,"2,000,000,000",8,0.0024,"6,565,287,204",22.3073
SUB TOTAL: -,,,"338,452",99.9997,"28,076,779,937",95.3981
GTCO GDR UNDERLYING SHARES,,,1,0.0003,"1,354,399,287",4.6019
,,,,,,
TOTAL,,,"338,453",100,"29,431,179,224",100
,,,,,,
Shares raised not yet listed,,,,,"4,707,770,460",
,,,,,,
TOTAL,,,,,"34,138,949,684",
