0,1,2,3,4,5,6,7,8,9
"Chams Holding Company Plc
Unaudited Consolidated and Separate Statement of Equity For the period ended 31st March 2025",,,,,,,,,
"Group Issued Share Share Premium Revaluation Retained Capital Fairvalue Reserve Non- controlling Total N'000
capital N'000 Reserve Earnings Reserve N'000 Interest N'000
N'000 N'000 N'000 N'000",,,,,,,,,
"Balance as at 1st January 2024 2,348,030 35,008 4,755,307 145,522 (15,546) 4,456,778 9,449,453
2,348,030 35,008 4,755,307 (2,197,974) 145,522 - 4,581,456 9,667,349
Profit /(Loss) for the Period
Negative retained earnings written off - 91,608 146,572
- - - 54,965 -
Impact of balance sheet restructuring -
- 146,572
Other Comprehensive Income
Fairvalue loss in the year - - - 91,608 - - 54,965
Revaluation gain on intangible asset
- - - -
Total Comprehensive Profit - - - - - - - -
-
Transactions with owners recorded directly in equity:
Balance Adjustment on Beginning Balance Equity
Shares disposed during the year -
Balance as at 31 December 2024 2,348,030 35,008 4,755,307 (2,106,367) 145,522 - 4,636,421 9,813,921",,,,,,,,,
,"Share
capital","Share
premium","Revaluation
reserves","Capital
reserves","Fair
value","Retained
earnings",Total,"Non-
controlling",Group
Balance at 1 January 2025,"2,348,030","35,008","4,755,307","145,522",156,"(1,788,977)","5,495,046","4,498,274","9,993,320"
Statement of profit or loss,,,,,,"148,870","148,870","91,474","57,396"
Other comprehensive income,,,,,,,-,,-
Balance at 31 March 2025,"2,348,030","35,008","4,755,307","145,522",156,"(1,640,107)","5,643,916","4,589,748","10,233,664"
Prior period adjustments,,,,,,,-,,-
Statement of profit or loss,,,,,,,-,-,-
,,,,,,,,,-
"Balance at 31 March, 2025","2,348,030","35,008","4,755,307","145,522",156,"(1,640,107)","5,633,106","4,649,782","10,282,888"
"Balance as at 31 March, 2025 4,649,782",,,,,,,,"4,649,782",
