0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,Group,,,,,,,,,,,,,,,,,,,,,,
,In thousands of Nigerian Naira,,,,,,,,,,,,Jun-25,,,Jun-25,,,,,,,
,,,,,,,,,,,,,Pre-tax,,,Post-tax,,,,,,,
,Decrease,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,,
,Cash and bank balances,,,,,,,,,,,,"(8,099,929)",,,"(6,216,607)",,,"(33,421,642)",,,"(29,651,275)",
,Loans and advances to banks,,,,,,,,,,,,(375),,,(288),,,"(1,443)",,,"(1,280)",
,Loans and advances to customers,,,,,,,,,,,,"(8,843,562)",,,"(6,787,336)",,,"(37,403,110)",,,"(33,183,586)",
,Financial assets held for trading,,,,,,,,,,,,"(250,857)",,,"(192,530)",,,"(471,077)",,,"(417,934)",
,Investment securities,,,,,,,,,,,,"(12,282,165)",,,"(9,426,426)",,,"(36,509,673)",,,"(32,390,939)",
,Assets pledged as collateral,,,,,,,,,,,,"(392,050)",,,"(300,894)",,,"(1,106,736)",,,"(981,883)",
,,,,,,,,,,,,,"(29,868,938)",,,"(22,924,081)",,,"(108,913,681)",,,"(96,626,896)",
,Liabilities,,,,,,,,,,,,,,,,,,,,,,
,Deposits from banks,,,,,,,,,,,,"383,594",,,"294,404",,,"63,336",,,"56,191",
,Deposits from customers,,,,,,,,,,,,"16,829,924",,,"12,916,782",,,"20,211,709",,,"17,931,583",
,Financial liabilities held for trading,,,,,,,,,,,,"14,060",,,"10,791",,,"63,250",,,"56,115",
,Debt Securities,,,,,,,,,,,,-,,,-,,,-,,,-,
,Other borrowed funds,,,,,,,,,,,,"443,028",,,"340,019",,,"3,104,969",,,"2,754,691",
,,,,,,,,,,,,,"17,670,606",,,"13,561,995",,,"23,443,264",,,"20,798,580",
,Total,,,,,,,,,,,,"(12,198,332)",,,"(9,362,086)",,,"(85,470,417)",,,"(75,828,317)",
,,,,,,,,,,,,,,,,,,,,,,,
,Increase,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,,
,Cash and bank balances,,,,,,,,,,,,"8,099,929",,,"6,216,607",,,"33,421,642",,,"29,651,275",
,Loans and advances to banks,,,,,,,,,,,,375,,,288,,,"1,443",,,"1,280",
,Loans and advances to customers,,,,,,,,,,,,"8,843,562",,,"6,787,336",,,"37,403,110",,,"33,183,586",
,Financial assets held for trading,,,,,,,,,,,,"250,857",,,"192,530",,,"471,077",,,"417,934",
,Investment securities,,,,,,,,,,,,"12,282,165",,,"9,426,426",,,"36,509,673",,,"32,390,939",
,Assets pledged as collateral,,,,,,,,,,,,"392,050",,,"300,894",,,"1,106,736",,,"981,883",
,,,,,,,,,,,,,"29,868,938",,,"22,924,081",,,"108,913,681",,,"96,626,896",
,Liabilities,,,,,,,,,,,,,,,,,,,,,,
,Deposits from banks,,,,,,,,,,,,"(383,594)",,,"(294,404)",,,"(63,336)",,,"(56,191)",
,Deposits from customers,,,,,,,,,,,,"(16,829,924)",,,"(12,916,782)",,,"(20,211,709)",,,"(17,931,583)",
,Financial liabilities held for trading,,,,,,,,,,,,"(14,060)",,,"(10,791)",,,"(63,250)",,,"(56,115)",
,Debt securities,,,,,,,,,,,,-,,,-,,,-,,,-,
,Other borrowed funds,,,,,,,,,,,,"(443,028)",,,"(340,019)",,,"(3,104,969)",,,"(2,754,691)",
,,,,,,,,,,,,,"(17,670,606)",,,"(13,561,995)",,,"(23,443,264)",,,"(20,7981,57850)",
,Total,,,,,,,,,,,,"12,198,332",,,"9,362,086",,,"85,470,417",,,"75,828,317",
