0,1,2,3,4,5,6,7,8,9,10,11
2025-Key Assumptions,,,West Africa,,,,,,,,
,,,Corporate Commercial Retail,,,,,,,,
,Revenue Growth Rate (%),,,15.53%,,,1.00%,,,4.56%,
Operating Income Growth Rate (%),,,14.18% 0.91% 4.17%,,,,,,,,
,,,,,,,,,,,
Other Operating Costs (₦'Million),,,"97,391 6,248 28,619",,,,,,,,
,Annual Capital Expenditure (₦'Million),,,"28,585",,,"1,834",,,"8,400",
,,,,,,,,,,,
,Recoverable Amount (₦'Million),,,"1,432,308",,,"91,891",,,"420,894",
,,,,,,,,,,,
,Long Term Growth Rate (%),,,15%- 20%,,,15%- 20%,,,15%- 20%,
Discount Rate (%),,,26.73% 26.73% 26.73%,,,,,,,,
2024-Key Assumptions,,,,,,,,,,,
,,,West Africa,,,,,,,,
,,,"Retail
Corporate Commercial",,,,,,,,
,Revenue Growth Rate (%),,,37.50%,,,38.50%,,,39.00%,
Operating Income Growth Rate (%),,,40.02% 40.52% 42.02%,,,,,,,,
,,,,,,,,,,,
Other Operating Costs (₦'Million),,,"186,120 11,941 54,693",,,,,,,,
,Capital Expenditure (₦'Million),,"41,496",,,"2,662",,,"12,194",,
,,,,,,,,,,,
,Recoverable Amount (₦'Million),,,"952,706",,,"61,122",,,"279,960",
,,,,,,,,,,,
,Long Term Growth Rate (%),,,15%- 20%,,,15%- 20%,,,15%- 20%,
Discount Rate (%),,,40.07% 40.07% 40.07%,,,,,,,,
