0
"Donation of 3000 Gas Cylinders to Rural Communities in Obafemi-Owode LGA of Ogun state,"
"Sponsorship for Lagos Polo Tournament 2025,"
"Support for Energize Fest,"
"Blood Donation Drive,"
"Support For RCCG Economic Summit,"
"Support for World Autism Awareness Day,"
"Support for Lebanese Ladies Society,"
"Support for IAL Conference,"
"Musical Society of Nigeria- Autism Conference Program,"
"GTBank Kenya USIU Africa Day Ceremony,"
"GTBank Kenya Ol Pejeta Conservancy Golf Tournament,"
"GTBank Liberia CSR Sponsorship,"
"GTBank S. Leone Sponsorship for Radisson Blu,"
"GTBank S. Leone Sponsorship for Comedian Faculty,"
"GTBank S. Leone Sponsorship for Child Evangelism,"
"GTBank S. Leone Street Child Marathon, amongst others."
