0,1,2,3,4,5,6
Share Range,,,"Number of
Shareholders","% of
Shareholder","Number of
Holdings","%
Shareholding"
1,-,"10,000","389,355",82.2246,"921,239,325",2.6987
"10,001",-,"50,000","63,420",13.3931,"1,383,411,633",4.0525
"50,001",-,"100,000","9,719",2.0525,"700,714,627",2.0527
"100,001",-,"500,000","8,562",1.8081,"1,764,571,994",5.1691
"500,001",-,"1,000,000","1,132",0.2391,"799,567,298",2.3422
"1,000,001",-,"5,000,000","1,017",0.2148,"2,055,785,021",6.0222
"5,000,001",-,"10,000,000",136,0.0287,"951,622,490",2.7877
"10,000,001",-,"50,000,000",114,0.0241,"2,358,983,472",6.9103
"50,000,001",-,"100,000,000",25,0.0053,"1,788,315,703",5.2386
"100,000,001",-,"500,000,000",32,0.0068,"6,566,671,788",19.2362
"500,000,001",-,"1,000,000,000",6,0.0013,"4,301,338,901",12.6002
"1,000,000,001",-,"2,000,000,000",7,0.0015,"9,193,179,925",26.9303
SUB TOTAL: -,,,"473,525",99.9999,"32,785,402,177",96.0407
GTCO GDR UNDERLYING SHARES,,,1,0.0002,"1,351,577,337",3.9593
,,,,,,
TOTAL,,,"473,526",100,"34,136,979,514",100
