0,1,2,3,4
Shareholding Structure and Free Float Status,,,,
,,,,
Company Name:,CHAMS HOLDING PLC,,,
Board Listed:,Main Board,,,
Period End,September,,,
Reporting Period:,Ended September 30,"th, 2025",,
Share Price at end of reporting period:,N3.50 (2024: N2.14),,,
,,,,
Description,30-Sep-25,,30-Sep-24,
,Unit,Percentage,Unit,Percentage
Issued Share Capital,"4,696,060,000",100%,"4,696,060,000",100%
Substantial Shareholdings (4% and above),,,,
"Smartcity Resorts Plc 237,064,633 5.05 283,064,633 6.03
Suleiman Abubakar Abdullahi Nil Nil 320,000,000 6.81
Capital Express Securities Limited - BRD Nil Nil 679,440,809 14.47",,,,
,Nil,Nil,,
,Nil,Nil,,
Black Rising Ltd,"500,000,000 10.65",,,27.31%
Total Substantial Shareholdings,"737,064,633",15.70%,"1,282,505,442",27.31%
"Directors' Shareholdings (direct and indirect), excluding directors with substantial interests",,,,
Sir Demola Aladekomo,"75,958,828",1.62%,"75,958,828",1.62%
Mrs Mayowa Olaniyan,"6,327,114",0.13%,"6,327,114",0.13%
"Alhaji Yusufu Modibbo (Tiddo
Securiies Limited)","1,092(Direct)
10,000(Indirect)",0.00%,"621,218(direct)
596,686(Indirect)",0.03%
Dr Mohammed Santuraki,"3,010,000",0.06%,"3,000,000",0.06%
Mr Mohammed Bashir Yunusa,0,0.00%,"4,640,000",0.10%
Mrs Chijioke Ugochukwu,"119,700",0.00%,Nil,0%
Sir Ayobola Abiola(Fullhouse Capital Partners Ltd),"10,000,000",0.21%,"10,000,000",0.21%
Mr Tomiwa Aladekomo,"940,000",0.02%,"940,000",0.02%
Dumebi Obodo,"1,000,000",0.02%,"1,000,000",0.02%
Mr Segun Oloketuyi,"10,000,000",0.21%,"10,000,000",0.21%
Mrs Olamojiba Bakare,Nil,Nil,Nil,Nil
Total Directors' Shareholdings,"107,366,734",2.30%,"113,083,846",2.40%
Other Influential Shareholdings,,,,
,,,,
Total Other Influential Shareholdings,0,0.00%,0,0.00%
Free Float in Units and Percentage,"3,851,628,633",82.01%,"3,300,470,712",70.28%
Free Float in Value,"N13,480,700,215.50",,"N7,063,007,323.68",
,,,,
Declaration:,,,,
"Chams Holding Company Plc with a free float percentage of 82.01% as at 30 September 2025, is compliant with The Exchange's
free float requirements for companies listed on the Main Board.",,,,
"Chams Holding Company Plc with a free float value of N13,480,700,215.50 as at 30 September, 2025, is compliant with The
Exchange's free float requirements for companies listed on the Main Board.",,,,
