0,1,2,3,4
Shareholding Structure and Free Float Status,,,,
,,,,
Company Name:,CHAMS HOLDING PLC,,,
Board Listed:,Main Board,,,
Period End,Dec-31,,,
Reporting Period:,"Ended December 31st, 202",5,,
Share Price at end of reporting period:,N3.90(2024: N1.99),,,
,,,,
Description,31-Dec-25,,31-Dec-24,
,Unit,Percentage,Unit,Percentage
Issued Share Capital,"9,000,000,000",100%,"4,696,060,000",100%
Substantial Shareholdings (4% and above),,,,
SMARTCITY RESORTS PLC,,,"272,064,633",5.79
BLACK RISING LTD,"700,000,000",7.78,"400,000,000",8.52
CAPITAL EXPRESS SECURITIES LIMITED - BRD,,,"486,949,200",10.37
CROPS NIGERIA LIMITED,"1,955,910,000",21.73,,
Total Substantial Shareholdings,"2,655,910,000",29.51%,"1,159,013,833",24.68%
"Directors' Shareholdings (direct and indirect), excluding directors with substantial interests",,,,
Sir Demola Aladekomo,"106,758,835",1.19%,"69,090,000",1.47%
Mrs Mayowa Olaniyan,"26,086,568",0.29%,"6,327,114",0.13%
Alhaji Yusufu Modibbo (Tiddo Securiies Limited),"651,228(Direct)",0.00%,"621,218(direct)",0.01%
,"25,954,113(Indirect)",0.29%,"596,686(Indirect)",0.01%
Dr Mohammed Santuraki,"4,515,000",0.05%,"3,010,000",0.06%
Mr Mohammed Bashir Yunusa,"8,649,700",0.10%,"4,640,000",0%
Mrs Chijioke Ugochukwu,"242,962",0.00%,"119,700",0%
Sir Ayobola Abiola(Fullhouse Capital Partners Ltd),"15,000,000(Indirect)",0.17%,"10,000,000(Indirect)",0.21%
Mr Tomiwa Aladekomo,"1,410,000",0.01%,"940,000",0.02%
Dumebi Obodo,"24,218,800",0.27%,"1,000,000",0.02%
Mr Segun Oloketuyi,"15,000,000",0.16%,"10,000,000",0.21%
Mrs Olamojiba Bakare,Nil,Nil,Nil,Nil
Total Directors' Shareholdings,"228,487,206",2.54%,"106,344,718",2.26%
Other Influential Shareholdings,0,0,0,0
CAPITAL EXPRESS SECURITIES LIMITED - BRD,"75,099,742.00",0.83%,NIL,NIL
SMARTCITY RESORTS PLC,"254,650,307.00",2.83%,NIL,NIL
CREDITVILLE NIGERIA LIMITED,"304,287,104.00",3.38%,NIL,NIL
Total Other Influential Shareholdings,"634,037,153.00",7.04%,0,0.00%
Free Float in Units and Percentage,"5,481,565,641",60.91%,"3,430,701,449",73.05%
Free Float in Value,"N21,378,105,999",,"N6,827,095,883.51",
