0,1,2,3,4,5,6,7
"4 .3 Financial assets and liabilities
(a) Fair value measurement
Accounting classification measurement basis and fair values
The table below sets out the classification of each class of financial assets and liabilities, and their fair values.
Financial Financial Financial Financial Financial Financial Total carrying Fair value
assets assets assets assets liabilities liabilities amount
designated as mandatorily measured at measured at mandatorily measured at amortised
FVPL measured amortized cost FVOCI measured cost
through FVPL through FVPL
Group
In millions of Naira",,,,,,,
"December 2023
Cash and balances with banks","- - 3 ,059,186 - - - 3 ,059,186 3 ,059,186",,,,,,
Investment under management,"- - 5 1,218",,,-,"- - 5 1,218 5 1,218",,
Non pledged trading assets,- - - - -,,,,,,
"Treasury bills
Bonds","-
-","1 97,120 - - - - 197,120 197,120
1 0,146 - - - - 10,146 10,146",,,,,
"Equity
Derivative financial instruments
Loans and advances to banks
Loans and advances to customers
Pledged assets","- 1 ,942 - - - - 1,942 1,942
- 2 ,191,511 - - - - 2,191,511 2,191,511
- - 8 80,535 - - - 8 80,535 8 80,535
- - 8 ,037,723 - - - 8 ,037,723 8 ,037,723
-",,,,,,
"Treasury bills
Government bonds","-
-","32,235 8 0,286 4 45,262 - - 5 57,783 5 57,783
1,193 6 23,360 - - - 624,554 6 24,553",,,,,
"Promissory Notes
Investment securities
- Financial assets at FVOCI
Treasury bills","- - 30,226 - - - 30,226 30,226
-
- - - 1 ,943,342 - - 1,943,342 1,943,342",,,,,,
,"- - - 2 39,630 - - 2 39,630 2 39,630",,,,,,
,"- - - 5 2,376 - - 5 2,376 5 2,376",,,,,,
,"- - - 1 8,059 - - 1 8,059 1 8,059",,,,,,
,"- - - 89,227 - - 8 9,227 8 9,227",,,,,,
,"- - - - - 1 8,059",,,,,,
,"- - - 16,714 - - 1 6,714 1 6,714",,,,,,
,"- 4 06,154 - - - - 4 06,154 4 06,154",,,,,,
,"- -
- -
- -
- -
- -",,"7 54,810
8 51,788
3 ,958
7 ,566
1 ,067,419
9 4,690","- - - 7 54,810 7 54,810
- - - 8 51,788 8 51,788
- - - 3 ,958 3 ,958
- - - 7 ,566 7 ,566
- - - 1 ,067,419 1 ,067,419",,,
,- -,,,"- - - 9 4,690 9 4,690",,,
,"- - 4 ,848,165 - - - 4 ,848,165 4 ,848,165",,,,,,
,"- 2,840,301 2 0,390,932 2 ,804,610 - - 26,035,842 2 6,053,903",,,,,,
,,,,,,,
,"- - - - - 4 ,437,187 4,437,187
- - - - - 15,322,753 1 5,322,753",,,,,,
,- - - - -,,,,,"1 ,709,651","1 ,709,651 1 ,709,651"
,"- - - - 4 75,999 - 475,999 475,999",,,,,,
,"- - - - - 4 73,413 4 73,413 585,024",,,,,,
,"- - - - - 1 ,896,117 1,896,117 1,896,117",,,,,,
,"- - - - 475,999 23,839,121 24,315,119 24,426,731",,,,,,
,,,,,,,
