0,1,2,3,4,5,6
"(VI) Deposits from banks
Group Group Company Company
December 2023 December 2022 December 2023 December 2022
In millions of Naira",,,,,,
"Opening balance 1 Jan 2023
Interest expense
Interest paid
Foreign exchange difference
Closing balance","( 2,005,315)
320,758
(255,795)
(129,928)
4,387,020",,"(1,696,521)
118,531
(102,011)
(86,893)
2,005,315",,"-
-
-
-
-",
"Recognized in cashflow 2 ,366,907",,,,- -,,
,,,"2 38,422",,,
"(VII) Deposits from customers
Group Group Company Company
December 2023 December 2022 December 2023 December 2022
In millions of Naira",,,,,,
"Opening balance 1 Jan 2023
Acquired Balances
Interest expense
Interest paid
Foreign exchange difference
Closing balance","(9,251,237)
110,815
5 05,591
( 464,785)
(303,240)
1 5,322,752",,"( 6,954,827)
-
2 73,059
( 255,947)
( 34,224)
9 ,251,237",,"-
-
-
-
-
-",
"Recognized in cashflow 5 ,919,894",,,,- -,,
,,,"2 ,279,298",,,
"(VIII) Other Liabilities
Group Group Company Company
December 2023 December 2022 December 2023 December 2022
In millions of Naira",,,,,,
"Opening balance 1 Jan 2023
Acquired Balances
Lease payments
Additional provision for impairment
Interest expense on lease liability
Foreign exchange difference
Closing balance","(753,875)
2 ,548
( 100)
(6,827)
1 ,477
9 ,472
1,695,403",,"(560,709)
-
(4,899)
4,949
1,424
267,055
753,875",,,
"Recognized in cashflow 9 48,099",,,,"3 4,287 5 1,811",,
,,,"4 61,695",,,
,,,,,,
