0,1,2,3,4,5,6,7,8,9,10,11,12
Human resources,,,,,,,,,,,,
,(i) Report o,n diversity in employment,,,,,,,,,,
,"TheCompanyasatDecember31,2023operatesanon-discriminatorypolicyintheconsiderationofapplicationsforemployment.TheCompany’spolicyisthatthemostqualifiedandexperienced",,,,,,,,,,,
,"persons are recruited for appropriate job levels, irrespective of an applicant’s state of origin, ethnicity, religion, gender or physical condition.",,,,,,,,,,,
,We believe diversity and inclusiveness are powerful drivers of competitive advantage in developing and understanding of our customers' needs and creatively addressing them.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,25,,,
,,,,,,,,,,,,
,,,,,,23,,,,,,
,,,,,,,,,,,,
,,,,,,Female Male,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,6,,,,,,
,,,,,,3,,,,,,
,,,,,,,,,,,,
,,,,,,Female Male,,,,,,
,,,,nder,,,,,,,,
,,,,,,2,,,,,,
,,,,,,1,,,,,,
,,,,,,,,,,,,
,,,,,,Female Male,,,,,,
,,,,,,,,,,,,
,,,,,,3,,,,,,
,,,,,,2,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Female Male,,,,,,
(ii) Employment of disabled persons,,,,,,,,,,,,
"TheCompanyhasanon-discriminatorypolicyontheconsiderationofapplicationsforemployment,includingthosereceivedfromdisabledpersons.Allemployeesaregivenequalopportunitiesto
developthemselves.TheCompany’spolicyisthatthehighestqualifiedandmostexperiencedpersonsarerecruitedforappropriatejoblevelsirrespectiveofanapplicant’sstateoforigin,ethnicity,
religion or physical condition.
As at December 31, 2023, the Company had no person with physical disability on the staff list.",,,,,,,,,,,,
"(iii) Health, safety and welfare of employees",,,,,,,,,,,,
"TheCompanymaintainsbusinesspremisesdesignedwithaviewtoguaranteeingthesafetyandhealthylivingconditionsofitsemployeesandcustomersalike.Employeesareadequatelyinsured
against occupational and other hazards. In addition, the Company retains top-class hospitals where medical facilities are provided for its employees and their immediate families at its expense.
Fire prevention and fire-fighting equipment are installed in strategic locations within the Company's premises.",,,,,,,,,,,,
,,,,,,,,,,,,
"TheCompanyoperatesGroupPersonalAccidentandtheWorkmen’sCompensationInsurancecoversforthebenefitofitsemployees.Italsooperatesacontributorypensionplaninlinewiththe
Pension Reform Act 2014 as Amended and other benefit schemes for its employees.",,,,,,,,,,,,
(iv) Employee involvement and training,,,,,,,,,,,,
"TheCompanyencouragesparticipationofemployeesinarrivingatdecisionsinrespectofmattersaffectingtheirwellbeing.Towardsthisend,theCompanyprovidesopportunitieswhereemployees
deliberateonissuesaffectingtheCompanyanditsemployees'interests,withaviewtomakinginputstodecisionsthereon.TheCompanyplacesahighpremiumonthedevelopmentofits
manpower. Consequently, the Company sponsors its employees for various training courses, both locally and overseas.",,,,,,,,,,,,
(v) Statement of commitment to maintain positive work environment,,,,,,,,,,,,
"TheCompanyshallstrivetomaintainapositiveworkenvironmentthatisconsistentwithbestpracticetoensurethatbusinessisconductedinapositiveandprofessionalmannerandtoensurethat
equal opportunity is given to all qualified members of the Group's operating environment.",,,,,,,,,,,,
"(vi) Events after reporting period
Transition of Dr Herbert Wigwe
AccessHoldingsannouncesthepassingofDr.HerbertWigwe,CFR,theCompany’sfoundingGroupChiefExecutiveOfficer.Dr.WigwediedonFriday,9February2024inahelicopteraccidentintheUnited
States of America.
Appointment of Acting Group Chief Executive Officer
TheBoardofDirectorsofAccessHoldingsPlcannouncedtheappointmentofMs.BolajiAgbedeastheActingGroupChiefExecutiveOfficeroftheCompanyfollowingtheunfortunatedemiseofitsformer
Group Chief Executive Officer, Dr. Herbert Wigwe, on February 9, 2024. The appointment is subject to the approval of the Central Bank of Nigeria.",,,,,,,,,,,,
(vii)Audit committee,,,,,,,,,,,,
"Pursuant to Section 404(3) of the Companies and Allied Matters Act of Nigeria, the Company's Audit Committee for the 2023 FY comprised Directors and shareholders as follows:",,,,,,,,,,,,
