0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Type of
Meeting","Board
Retreat",AGM,Board Meetings,,,,,,,,,,,,
Date,"30-
31/8/202
4","19/4/
2024","25/1/
2024","30/1/
2024","10/2/
2024","12/2/
2024","14/2/
2024","13/2/
2024","25/3/
2024","29/4/
2024","30/7/
2024","4/10/
2024","30/10/
2024","17/12/
2024","17/12/
024"
"Aigboje Aig-
Imokhuede*",P,P,NM,NM,NM,NM,NM,P,P,P,P,P,P,P,P
"Abubakar
Jimoh**",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
"Fatimah Bello-
Ismail",P,P,P,P,P,A,P,P,P,P,P,P,P,P,P
"Ojinika
Olaghere",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
"Olusegun
Ogbonnewo",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
"Roosevelt
Ogbonna",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
"Oluseyi
Kumapayi",P,P,P,P,P,P,P,P,P,P,A,P,P,P,P
"Herbert
Wigwe***",NM,NM,P,P,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
Bolaji Agbede,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Lanre Bamisebi,P,P,P,P,P,P,P,p,P,P,P,P,P,P,P
