0
"4 89,199 52.33% 9 3,868,769 0.20%"
"2 71,206 29.01% 6 04,766,280 1.32%"
"6 9,342 7.42% 4 77,547,605 1.04%"
"7 7,304 8.27% 1 ,573,367,750 3.43%"
"1 2,693 1.36% 9 07,266,785 1.98%"
"1 1,232 1.20% 2 ,301,410,177 5.02%"
"1 ,616 0.17% 1 ,130,831,257 2.47%"
"1 ,628 0.17% 3 ,277,736,728 7.15%"
"1 96 0.02% 1 ,391,987,848 3.03%"
"2 38 0.03% 5 ,152,929,207 11.23%"
"4 4 0.00% 2 ,943,391,822 6.42%"
"5 3 0.01% 9 ,567,833,793 20.86%"
"6 0.00% 4 ,412,374,058 9.62%"
"9 0.00% 1 2,033,053,155 26.23%"
"934,766 100% 45,868,365,234 100%"
