0,1,2,3,4,5,6
"In millions of Naira 3 Months to
Notes September 2025",,,,,,
,,,,,,
"Interest income calculated using effective interest rate 8 799,133
Interest income on financial assets at FVTPL 8 60,760",,,,,,
"Interest expense 8 (586,584)
Net interest income 273,308
Net impairment charge 9 (119,915)
Net interest income after impairment charges 153,393
Fee and commission income 10 (a) 282,878
Fee and commission expense 10 (b) (44,618)",,,,,,
"Net fee and commission income 238,261 125,190 - -",,,,,,
"Fair value and foreign exchange gain
Other operating income
Bargain purchase from Acquisition
Personnel expenses
Depreciation
Amortization and impairment","11,12
13
44
14
28
29","209,460
49,863
-
(129,358)
(19,025)
(6,023)",,,"141,466
4,833
-
(123,334)
(19,207)
(7,338)
(221,595)
-","18,943
19,327
-
(1,082)
(86)
-"
"Other operating expenses 15 (200,896)
Share of profit of investment in associate 27 (a) -",,,,,,"(4,517)"
,,,,,,
Profit before tax,,,"295,675 209,255 18,580",,,
"Income tax (64,042) (32,837) (224) (164)
Profit for the period from continuing operations 231,633 176,418 18,356 (608)
Profit for the period 231,633 176,418 18,356 (608)
Other comprehensive income (OCI) net of income tax :
items that will not be subsequently reclassified to income statement:
Gross Actuarial gain on retirement benefit obligations - - - -
Income tax relating to these items -
Items that may be subsequently reclassified to the income - - -
statement:
(106,838) (60,564) - -
Unrealised foreign currency translation difference
Changes in fair value of FVOCI debt financial instruments 329,828 (121,078) -
Changes in allowance on FVOCI debt financial instruments 519 805 - -
(270,821) - - -
Fair value loss on derecognized FVOCI debt securities reclassified to P/L
Other comprehensive income/(loss), net of related tax effects (47,312) (180,838) - -
Total comprehensive (loss)/income for the period 184,321 (4,420) 18,356 (608)
Profit attributable to:
Owners of the bank 228,617 113,150 18,356 (608)",,,,,,
Non-controlling interest 3 8,,"3,016",,,"1,854",- -
"Profit for the period 231,633 176,418 18,356 (608)
Total comprehensive income attributable to:
Owners of the bank 189,086 (32,954) 18,356 (608)
Non-controlling interest 3 8 (4,765) (32,879) - -
Total comprehensive (loss)/income for the period 184,321 (4,420) 18,356 (608)
Earnings per share attributable to ordinary shareholders
Basic (kobo) 1 7 428 318 - -
Diluted (kobo) 1 7 428 318 - -
The notes are an integral part of these consolidated financial statements.",,,,,,
