0,1,2
Description,31 March 2025,
,Unit,Percentage
Issued Share Capital,"2,190,382,819",100%
Substantial Shareholdings (5% and above),,
NSEVEN Nigeria Limited- MAIN,"1,270,943,368",58.02%
Stanbic IBTC Nominees Nigeria LTD/C026-MAIN,"139,370,907",6.36%
Mutima Opportunity Fund LP-MAIN,"122,857,207",5.61%
Stanbic IBTC nominess Nigeria LTD/C002-MAIN,0,0.00%
Total Substantial Shareholdings,"1,533,171,482",70.00%
"Directors' Shareholdings (direct and indirect), excluding directors with substantial interests",,
Bola Adesola (direct),"1,250",0.00%
Total Directors' Shareholdings,"1,250",0.00%
Other Influential Shareholdings,,
,,
Total Other Influential Shareholdings,0.00%,0.00%
Free Float in Units and Percentage,"657,210,087",30.00%
Free Float in Value,"₦ 52,576,806,960.00",
