0,1,2,3,4
Range,No. of Holders,Percent,Units,Percent
"1 - 1,000",434,7.92%,"286,348",0.01%
"1,001 - 10,000","1,790",32.66%,"10,065,876",0.34%
"10,001 - 100,000","2,346",42.80%,"107,208,495",3.64%
"100,001 - 500,000",669,12.21%,"158,070,842",5.37%
"500,001 - 1,000,000",113,2.06%,"93,911,413",3.19%
"1,000,001 - 5,000,000",101,1.84%,"253,700,254",8.62%
"5,000,001 - 10,000,000",17,0.31%,"135,346,918",4.60%
"10,000,001 - 100,000,000",7,0.13%,"187,601,327",6.38%
"100,000,001 - 10,000,000,000",4,0.07%,"1,995,597,999",67.84%
Total,"5,481",100.00%,"2,941,789,472",100.00%
