0,1,2,3,4,5,6
UBA Ghana Limited,,UBA Burkina Faso,,UBA Benin,,
Dec. 2024,Dec. 2023,Dec. 2024,Dec. 2023,Dec. 2024,Dec. 2023,Dec. 2024
"396,144
592,594
56,085","200,537
385,386
23,958","115,662
1,399,446
20,232","28,792
947,534
60,990","78,168
1,028,611
9,935","75,548
582,531
6,652","122,594
185,782
6,501"
"1,044,822","609,881","1,535,340","1,037,316","1,116,713","664,730","314,875"
"771,387
101,032","488,574
7,104","1,383,130
30,598","9 13,846
5 2,952","1,013,544
15,118","603,044
8,617","265,938
6,782"
"872,418","495,678","1,413,728","966,798","1,028,662","611,661","272,720"
,,,,,,
"172,404","114,203","121,612","70,518","88,051","53,069","42,155"
Dec. 2024,Dec. 2023,Dec. 2024,Dec. 2023,Dec. 2024,Dec. 2023,Dec. 2024
"1 41,336","8 4,303","1 30,026","43,944","9 5,531","4 7,641","5 0,855"
"13,214
-","(6,313)
-","38,920
-","1 1,570
-","21,742
-","1 0,195
-","7,439
-"
"13,214","(6,313)","38,920","11,570","21,742","10,195","7,439"
"1,220
242,957
127,880
(175,230)","(583)
213,491
57,044
(169,744)","14,113
365,490
12,174
(290,792)","4 ,195
3 49,803
2 6,938
( 380,321)","2,957
236,152
13,240
(246,772)","1 ,386
2 60,862
1 8,400
( 238,077)","1,190
251,130
29,927
(158,463)"
"195,606","100,791","86,871","(3,580)","2,620","41,185","122,594"
