0,1,2,3,4
UBA Uganda Limited,,UBA Kenya Bank Limited,,UBA Senegal (SA)
Dec. 2024,Dec. 2023,Dec. 2024,Dec. 2023,Dec. 2024
"57,813
181,845
10,445","42,666
107,605
6,680","100,364
55,350
8,422","33,185
152,413
4,460","74,019
979,943
28,170"
"250,103","156,951","164,136","190,058","1,082,131"
"177,997
5,806","117,195
3,843","125,718
20,516","161,925
14,752","958,582
17,227"
"183,803","121,038","146,234","176,677","975,809"
,,,,
"66,300","35,913","17,902","13,381","106,322"
Dec. 2024,Dec. 2023,Dec. 2024,Dec. 2023,Dec. 2024
"32,398","17,358","20,670","14,116","94,153"
"2,695","3,108","(6,421)","(1,318)","26,706"
"2,695","3,108","(6,421)","(1,318)","26,706"
531,,(385),,"3,608"
