0,1,2
UBA Mozambique (SA),,UBA Tanzania
Dec. 2024,Dec. 2023,Dec. 2024
"201,729
158,363
7,322","62,252
70,962
3,597","22,365
67,969
7,089"
"367,413","136,811","97,423"
"259,792
8,937","84,989
5,629","72,863
6,609"
"268,729","90,618","79,472"
,,
"98,684","46,193","17,950"
Dec. 2024,Dec. 2023,Dec. 2024
"48,599","23,715","16,483"
"22,599
-","10,271
-","(2,665)
-"
"22,599","10,271","(2,665)"
"692
181,640
29,892
(72,054)","314
27,532
17,287
(22,200)","(477)
33,037
15,869
(28,652)"
"139,479","22,619","20,254"
