0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Description,,,Rating,,,Range Of,,,Risk Range,,Risk Range,
,,,,Bucket,,,Scores,,,,,(Description),
Extremely Low Risk,,,AAA,,,1.00 - 1.9,,9,,90% - 100%,"Low Risk
Range",,
Very Low Risk,,,AA,,,2.00 – 2.9,,9,,80% - 89%,,,
Low Risk,,,A,,,3.00 – 3.9,,9,,70% - 79%,,,
Acceptable Risk,,,BBB,,,4.00 – 4.9,,9,,60% - 69%,"Acceptable
Risk Range",,
Moderately High Risk,,,BB,,,5.00 – 5.9,,9,,50% - 59%,,,
High Risk,,,B,,,6.00 – 6.9,,9,,40% - 49%,"High Risk
Range",,
Very High Risk,,,CCC,,,7.00 – 7.9,,9,,30% - 39%,,,
Extremely High Risk,,,CC,,,8.00 – 8.9,,9,,0% - 29%,"Unacceptable
Risk Range",,
High Likelihood of Default,,,C,,,9.00 – 9.9,,9,,Below 0%,,,
Default,,,D,,,Above 9.,,99,,Below 0%,,,
,,,,,,,,,,,,,
