0,1,2,3
"Description Head Count Head Count
Total
Male % of Total Female % of Total
Directors 8 53% 7 47% 15
General Managers 20 74% 7 26% 27
Deputy General Managers 16 76% 5 24% 21
Assistant General Managers 61 69% 28 31% 89
Total 105 69% 47 31% 152
Group Staff distribution by nationality and location for the year ended 31 December 2024",,,
Location,Nationality,Head Count,
Nigeria,Nigerian,"5 ,361",
,Other 19 African Countries,1 1,
,Indian,2,
"UBA Central Africa:
Cameroon, Congo DRC, Congo Brazzaville,
Gabon, Chad.",Nigerian,1 0,
,Other 19 African Countries,"1 ,110",
"UBA West Africa
Ghana, Sierra Leone, Liberia,Cote D Ivoire,
Senegal, Burkina Faso, Benin, Guinea and Mali",Nigerian,3 0,
,Other 19 African Countries,"1 ,829",
"UBA East & Southern Africa
Kenya, Tanzania, Zambia, Uganda and
Mozambique",Nigerian,1 4,
,Other 19 African Countries,8 04,
UBA USA,Nigerian,2 4,
,American,3 1,
,Albanian,1,
,Cameroon,1,
,Chinese,2,
,Italian,1,
,Congo,1,
,Gambian,1,
,Ghanian,3,
,Haitian,1,
,Italian,1,
,Cote D'Ivoire,1,
,Indian,5,
,Jamaican,4,
,Moroccan,3,
,Pakistani,1,
,Peruvian,1,
,Egyptian,1,
,Pakistani,1,
,Trinidad and Tobago,1,
,Ugandan,2,
UBA UK,Nigerian,1 1,
,British,3 8,
,Cameroonian,1,
,Croatian,1,
,Egyptian,1,
,French,2,
,Ghanaian,2,
,Irish,1,
,Pakistani,1,
,Indian,3,
,Ukrainian,1,
UBA France,French,2,
UBA Dubai,British,1,
Total,,"9 ,323",
