0,1,2,3,4,5
"In millions of Nigerian Naira
Total revenue1
Interest expenses
Fee and commission expense
Impairment loss recognised in income statement
Operating expenses
Net monetary loss on hyperinflation
Segment Profit before tax
Income tax expenses
Profit for the period
31 December 2024
Loans and advances
Deposits from customers and banks
Total segment assets2
Total segment liabilities
1 Includes:
Recognised at a point in time
Recognised over time
Total revenue within the scope of IFRS 15
2 Includes:
Expenditure for reportable segment:
Non-current assets
Depreciation
Amortisation",Nigeria,Africa,International,Eliminations,Total
,"742,410","702,058","107,226","(180,647)","1,371,047
-"
,"(205,964)
(54,486)
(28,690)
(241,202)
-","(150,242)
(50,973)
(33,812)
(208,029)
(4,282)","(20,075)
(62)
2,289
(21,291)
-","47,345
-
-
-
-","(328,935)
(105,519)
(60,212)
(470,522)
(4,282)"
,"212,068","254,720","68,088","(133,302)","401,577"
,"(35,611)
176,457","(47,685)
207,035","(1,920)
66,168","-
(133,302)","(85,217)
316,360"
,"3,799,966","3 ,350,213","6 82,898","(322,460)","7,510,617"
,"11,293,595","12,335,408","2,778,520","(1,756,362)","24,651,161"
,"14,949,213","14,757,260","3,088,021","(2,471,139)","30,323,355"
,"13,854,705","12,944,372","2,826,021","(2,720,382)","26,904,716"
,"74,566
3,358","141,093
27,685","2,014
1 ,898","-
-","217,674
3 2,941"
,"77,924
16,754
5,015",,"3,912
1,077
1,642","-
-
-","250,615
40,876
7,733"
