0,1,2,3,4,5,6
UBA Ghana Limited,,UBA Burkina Faso,,UBA Benin,,
Jun. 2025,Dec. 2024,Jun. 2025,Dec. 2024,Jun. 2025,Dec. 2024,Jun. 2025
"502,383
1,168,670
82,872","396,144
592,594
56,085","83,905
1,700,749
40,959","115,662
1,399,446
20,232","101,068
1,152,895
10,816","78,168
1,028,611
9,935","120,689
243,326
6,547"
"1,753,925","1,044,822","1,825,613","1,535,340","1,264,779","1,116,713","370,560"
"1,446,409
34,087","771,387
101,032","1,642,719
63,738","1,383,130
30,598","1,149,428
21,863","1,013,544
15,118","331,872
4,100"
"1,480,496","872,418","1,706,457","1,413,728","1,171,290","1,028,662","335,972"
"273,429","172,404","119,156","121,612","93,489","88,051","34,588"
Jun. 2025,Dec. 2024,Jun. 2025,Dec. 2024,Jun. 2025,Dec. 2024,Jun. 2025
"8 0,786","1 41,336","7 0,145","1 30,026","5 2,018","9 5,531","2 0,700"
"14,443
-","13,214
-","19,087
-","38,920
-","14,761
-","2 1,742
-","3,121
-"
"14,443","13,214","19,087","38,920","14,761","21,742","3,121"
"1,333
476,813
3,689
(374,264)","1,220
242,957
127,880
(175,230)","6,921
232,001
(21,543)
(242,215)","14,113
365,490
12,174
( 290,792)","2,007
113,364
(9,324)
(81,141)","2,957
236,152
13,240
( 246,772)","499
256,626
55,981
(191,919)"
"106,238","195,606","(31,757)","86,871","22,900","2,620","120,689"
