0,1,2,3,4,5,6,7
UBA PLC,,,,,,,
SHAREHOLDER RANGE ANALYSIS AS AT 30 JUNE 2025,,,,,,,
S/N,CATEGORY,NO. OF HOLDER,HOLDER %,HOLDER CUM,UNIT,UNIT %,UNIT CUM
1,"1-1,000","48,156",16.13%,"48,156","19,184,714",0.05%,"19,184,714"
2,"1,001-5,000","124,578",41.72%,"172,734","311,233,569",0.76%,"330,418,283"
3,"5,001-10,000","46,044",15.42%,"218,778","316,687,944",0.77%,"647,106,227"
4,"10,001-50,000","55,885",18.71%,"274,663","1,172,697,759",2.86%,"1,819,803,986"
5,"50,001-100,000","11,211",3.75%,"285,874","763,879,792",1.86%,"2,583,683,778"
6,"100,001-500,000","9,531",3.19%,"295,405","1,956,765,212",4.77%,"4,540,448,990"
7,"500,001-1,000,000","1,477",0.49%,"296,882","1,036,669,777",2.53%,"5,577,118,767"
8,"1,000,001-5,000,000","1,335",0.45%,"298,214","2,642,538,242",6.44%,"8,219,657,009"
9,"5,000,001-10,000,000",184,0.06%,"298,398","1,265,854,233",3.08%,"9,485,511,242"
10,"10,000,001-50,000,000",162,0.05%,"298,560","3,410,899,562",8.31%,"12,896,410,804"
11,"50,000,001-100,000,000",22,0.01%,"298,582","1,654,841,006",4.03%,"14,551,251,810"
12,"100,000,001-500,000,000",39,0.01%,"298,621","10,268,964,798",25.02%,"24,820,216,608"
13,"500,000,001-1,000,000,000",10,0.00%,"298,631","6,095,121,864",14.85%,"30,915,338,472"
14,"1,000,000,001-Above",6,0.00%,"298,640","10,123,967,168",24.67%,"41,039,305,640"
,TOTAL,"298,640",100%,,"41,039,305,640",100%,
