0,1,2
"United Bank for Africa Plc
Consolidated and Separate Statements of Financial Position
Notes Group
As at Sep. 2025 Dec. 2024
In millions of Nigerian Naira
ASSETS
Cash and bank balances 18 9,114,658 8,163,668
Financial assets at fair value through profit or loss 19 220,164 100,687
Assets under management 20 6,840 15,175
Derivative assets 25 491 188,583
Loans and advances to banks 21 291,694 556,072
Loans and advances to customers 22 7,198,996 6,954,545
Investment securities:
- At fair value through other comprehensive income 23 6,280,281 4,942,106
- At amortised cost 23 7,310,803 7,592,399
Other assets 24 1,476,445 1,186,262
Property and equipment 375,124 416,623
Intangible assets 73,269 66,864
Deferred tax assets 142,795 140,371",,
,Sep. 2025,
,"9,114,658
220,164
6,840
491
291,694
7,198,996
6,280,281
7,310,803
1,476,445
375,124
73,269
142,795","8,163,668
100,687
15,175
188,583
556,072
6,954,545
4,942,106
7,592,399
1,186,262
416,623
66,864
140,371"
TOTAL ASSETS,"32,491,560","30,323,355"
"LIABILITIES
Deposits from banks 26
Deposits from customers 27
Derivative liabilities 25
Other liabilities 28
Current income tax liabilities 16
Borrowings 29
Deferred tax liabilities","2,739,068
23,799,278
9,760
925,996
16,365
695,366
4,590","2,756,472
21,894,689
33,849
680,313
138,983
1,394,796
5,614"
TOTAL LIABILITIES,"28,190,423","26,904,716"
"EQUITY
Share capital 30
Share premium 30
Retained earnings 30
Other reserves 30","20,520
329,564
1,770,626
2,055,948","17,100
98,715
1,425,037
1,775,713"
"EQUITY ATTRIBUTABLE TO OWNERS OF THE PARENT
Non-controlling interests","4,176,658
124,479","3,316,565
102,074"
TOTAL EQUITY,"4,301,137","3,418,639"
TOTAL LIABILITIES AND EQUITY,"32,491,560","30,323,355"
"The accompanying notes are an integral part of these condensed consolidated financial statements.
Approved by the board of directors on 30 October, 2025
Ugo A. Nwaghodoh Oliver Alawuba
ED, Finance & Risk Management Group Managing Director/CEO
FRC/2012/ICAN/00000000272 FRC/2022/PRO/DIR/003/589226
Tony O. Elumelu , CON
Chairman, Board of Directors
FRC/2013/PRO/DIR/003/00000002590",,
