0,1,2,3,4,5,6
UBA Ghana Limited,,UBA Burkina Faso,,UBA Benin,,
Dec. 2023,Dec. 2022,Dec. 2023,Dec. 2022,Dec. 2023,Dec. 2022,Dec. 2023
"200,537
385,386
23,958","99,747
223,263
4,547","28,792
947,534
60,990","32,372
448,378
9,989","75,548
582,531
6,652","34,363
250,863
3,140","106,619
137,218
3,961"
"609,882","327,556","1,037,315","490,739","664,730","288,366","247,799"
"488,574
7,104","259,510
4,574","913,846
52,952","4 50,219
8 ,510","603,044
8,617","259,950
3,943","217,478
5,472"
"495,678","264,084","966,798","458,729","611,661","263,893","222,950"
,,,,,,
"114,204","63,472","70,517","32,010","53,069","24,473","24,849"
Dec. 2023,Dec. 2022,Dec. 2023,Dec. 2022,Dec. 2023,Dec. 2022,Dec. 2023
"8 4,302","5 0,299","4 4,191","24,857","4 8,783","1 9,557","2 7,145"
"(6,313)
-","2,583
-","11,570
-","7 ,607
-","10,194
-","3 ,602
-","6,874
-"
"(6,313)","2,583","11,570","7,607","10,194","3,602","6,874"
"(583)
213,491
57,044
(169,744)","238
(16,145)
(17,116)
61,532","4,195
349,803
26,938
(380,321)","2 ,758
5 6,886
( 2,271)
( 59,812)","1,386
260,861
18,401
(238,077)","4 90
( 17,713)
( 2,680)
2 ,719","1,100
208,004
19,672
(121,057)"
"100,791","28,271","(3,580)","(5,197)","41,185","(17,675)","106,619"
