0,1,2,3,4
,2023,,2023,
,"1,075,347","557,152","577,380","344,490"
,"1,073,246
2,101","556,737
415","576,409
971","344,075
415"
,"(367,807)","(177,663)","(250,792)","(127,185)"
"Net interest income
Impairment charge for credit losses on Loans 12a
12b
Net impairment (charges)/write back on other financial assets","707,540
(144,049)
( 63,152)","379,489
(19,671)
( 22,297)","326,588
(121,128)
(16,248)","217,305
(5,669)
(4,896)"
Net interest income after impairment on financial instruments,"500,339","337,521","189,212","206,740"
"Fees and commission income 13
Fees and commission expense 14","307,313
(118,254)","210,522
(82,577)","124,346
(68,017)","113,939
(54,627)"
Net fee and commission income,"189,059","127,945","56,329","59,312"
"Net trading and foreign exchange gain 15
Other operating income 16
Net monetary loss on hyperinflation 17
Employee benefit expenses 18
Depreciation and amortisation 19
Other operating expenses 20
Share of profit of equity-accounted investee 29","659,257
33,469
(32,804)
(182,812)
(36,596)
(372,232)
-","72,150
13,040
-
(113,988)
(26,218)
(209,885)
311","596,933
161,933
-
(68,662)
(21,117)
(241,617)
-","53,193
52,933
-
(60,451)
(18,316)
(152,095)
-"
"Profit before income tax
Income tax expense 21","757,680
(149,984)","200,876
(30,599)","673,011
(86,385)","141,316
(7,621)"
Profit for the year,"607,696","170,277","586,626","133,695"
"Other comprehensive income/(loss)
Items that will be reclassified to Profit or loss:
Exchange differences on translation of foreign operations
Fair value changes on investments in debt securities at fair
value through other comprehensive income (FVOCI):
Net change in fair value for the year
ECL on debt instruments classified as FVOCI
Tax relating to net change in fair value for the year 20
Net amount transferred to profit or loss","435,862
(46,384)
8,640
4,638
(1,006)","(1,950)
(28,468)
2,424
2,847
(1,299)","-
(46,887)
7,625
4,689
(1,006)",
,"401,749","(26,446)","(35,579)","(21,944)"
"Items that will not be reclassified to Profit or loss:
Fair value changes on equity investments designated at
FVOCI
Tax relating to net change in fair value on equity investments
20
designated at FVOCI
Initial application of IAS 29 - Hyperinflationary Accounting 46","162,804
(16,280)
(77,941)","7,399
(740)
-","162,804
(16,280)
-",
,"68,583","6,659","146,524",
"Other comprehensive profit/(loss) for the year, net of tax","470,332","(19,787)","110,945",
Total comprehensive income for the year,"1,078,028","150,490","697,571","117,790"
"Profit for the year attributable to:
Owners of Parent
Non-controlling interests","598,285
9,411","165,451
4,826","586,626
-","133,695
-"
Profit for the year,"607,696","170,277","586,626","133,695"
"Total comprehensive income attributable to:
Owners of Parent
Non-controlling interests","1,041,567
36,461","145,038
5,452","697,571
-","117,790
-"
Total comprehensive income for the year,"1,078,028","150,490","697,571","117,790"
Earnings per share attributable to owners of the parent,,,,
Basic and diluted earnings per share (Naira) 21,17.49,4.84,17.15,3.91
"The accompanying notes are an integral part of these consolidated and separate financial statements.
36",,,,
