0,1,2,3,4,5
Year,Authorised (N),,Issued & fully paid-up,,Consideration
,"Increase/
Decrease",Cumulative,"Increase/
Decrease",Cumulative,
1984,-,"500,000",-,"500,000",Cash
1992,"1,500,000","2,000,000","3,500,000.00","4,000,000",Cash
1996,"14,000,000","16,000,000","12,000,000.00","16,000,000",Cash
1997,"84,000,000","100,000,000","4,000,000.00","20,000,000",Bonus
1998,-,"100,000,000","24,182,170.00","44,182,170",Cash
2006,"150,000,000","250,000,000","22,091,085.00","66,273,255",Bonus
2010,-,"250,000,000","33,136,628.00","99,409,881",Bonus
2017,-,"250,000,000","135,013,685.00","234,423,566",Cash
2022,-,"250,000,000","14,651,472.50","249,075,038.50",Bonus
2022,"(924,961.50)","249,075,038.50",-,"249,075,038.50",Cancellation
