0,1,2
1,Manufacturers Association of Nigeria 20th AGM Sponsorship,"20,000,000"
2,Ibidunni Ighodalo foundation on Fertility project,"5,000,000"
3,Federal College of Education (TECH) - Annual Home,"400,000"
4,Sponsorship of Boyz to Men 2023 Foundation Conference,"250,000"
5,"Sponsorship of Methodist Nursery & Pry School, Apapa and DSR Numan's Staff School 2023 Childrens Day celebration.","2,100,000"
6,Maritime Workers 2023 May Day Celebration,"100,000"
7,Financial Support to Watch Word Shareholder Association,"200,000"
8,2023 Lagos State Ministry of Agriculture World Food Day Schools Quiz Competition,"1,357,014"
9,Financial Support to Aba Citizen Shareholders Association,"200,000"
10,Sponsorship of NSCDC Adamawa State Volleyball team to Nigeria Premier League Finals Tournament,"350,000"
11,2023 DSR Annual Charity Day,"1,000,000"
"12
13",Construction of Kwapukai Community Primary Health Center,"25,500,000
16,000,000"
14,"Rebuilding of Gundo Community Primary Health Centre, Shelling LGA","7,500,000"
15,DSR Numan Primary & Secondary Schools Free Education Scheme,"21,900,000"
16,Renovation of DSR Numan High School,"12,201,057"
17,Scholarship for Tertiary & Secondary Schools Students across the five Local Government Areas,"7,200,000"
18,Medical Treatment Support for MEMBERS OF Libbo Community Shelleng LGA Mass Knife Attack Victims,"400,000"
19,DSR Numan Secondary Schools Quiz Annual Competition,"1,500,000"
20,"Rehabilitation of 15 boreholes in (Gywana, Shelleng, Demsa, Numan, Guyuk) communities","4,797,979"
21,Repair of Bare Community Transformer,"850,000"
22,Sponsorship of Annual Cultural Festivals in DSR Numan immediate host communities across the 5 LGAs,"6,700,000"
23,Support For Hama Bachama 3-Years Anniversary,"1,000,000"
"24
25",Donation to Chiroma Hayatu Isa- Demsa Turbaning,"500,000
100,000"
26,Support For Community Development Activities in DSR Numan 5 Immediate Host Communities,"49,500,000"
"27
28",Donation of groceries to Orphans and Widows in Tunga,"4,300,000
250,000"
29,Sustainability Week Feeding Outreach for Street Children (Almajiri) in Tunga and Awe LGA,"98,800"
30,NSCL Scholarship for Indigent students in the host communities.,"7,975,000"
31,"Rehabilitation of Roads in Tunga, Azara, Ribi and Awe","4,961,250"
32,Supply of diesel (AGO) to Sarkin Tunga's residence,"6,261,504"
33,Community development support for Tunga project immediate communities.,"13,600,000"
34,"Provision of portable water for Special Force, Tunga and GSS Tunga","1,152,900"
35,Ramadan and Sallah hampers to key stakeholders in the immediate host communities,"3,266,500"
36,Donation of anti-snake venom vials for Tunga Community Clinic,"259,000"
,TOTAL,"228,731,004"
