0,1,2,3,4,5,6,7
S/N,DIRECTORS,ATTENDANCE,,,,,
,,Feb 29,April 29,July 29,Oct 28,Dec 6,%
1,"Alhaji Aliko Dangote, GCON (Chairman)",√,√,√,√,√,100
2,Mr. Olakunle Alake,√,√,√,√,√,100
3,Alhaji Abdu Dantata,√,√,√,√,√,100
4,Ms. Bennedikter Molokwu,√,√,√,√,√,100
5,Ms. Maryam Bashir,√,√,√,√,√,100
6,"Prof. Konyinsola Ajayi, SAN",√,*,√,√,√,80
7,Mr. Uzoma Nwankwo,√,√,√,√,√,100
8,Mr. Ravindra Singhvi,√,√,√,√,√,100
9,Mrs. Yabawa Lawan Wabi (mni),√,√,√,√,√,100
10,Ms. Mariya Dangote,√,√,√,√,√,100
11,Mr. Arnold Ekpe*,-,-,-,-,√,100
