0,1,2,3,4
DESCRIPTION,31-Dec-24,,30-Jun-25,
,UNIT,PERCENTAGE,UNIT,PERCENTAGE
ISSUED SHARE CAPITAL,"498,150,077",100.0%,"498,150,077",100.0%
SUBSTANTIAL SHAREHOLDINGS (5% AND ABOVE),,,,
MWML NOMINEES LTD,"1 33,358,476",26.8%,"1 33,358,476",26.8%
SAHAM UNITRUST INSURANCE NIGERIA LTD,"1 06,250,000",21.3%,"1 06,250,000",21.3%
ADEBAYO THOMAS BANDELE (OTUNBA),"3 7,453,210",7.5%,"3 7,453,208",7.5%
,,,,
TOTAL SUBSTANTIAL SHAREHOLDINGS,"277,061,686",55.6%,"2 77,061,684",55.6%
,,,,
DIRECTOR'S SHAREHOLDINGS (DIRECT AND INDIRECT) EXCLUDING DIRECTORS WITH SUBSTANTIAL INTERESTS,,,,
KAYODE AJAKAIYE - (DIRECT),"2,390,657",0.5%,"2,310,658",0.5%
"SULAIMAN A. ADEDOKUN - (INDIRECT REPRESENTING
MWML NOMINEES LTD)",-,0.0%,-,0.0%
"ADEBAYO ADELEKE - (INDIRECT REPRESENTING
SAHAM UNITRUST INSURANCE NIG. LTD)",-,0.0%,-,0.0%
"DANIELLA F. SULEIMAN - (INDIRECT REPRESENTING
AIR. CMDR. DAN SULEIMAN RTD)","19,542,743",3.9%,"1 9,542,743",3.9%
ADEBAYO ADELEKE - (DIRECT),"7 28,894",0.1%,"726,645",0.1%
,,,,
TOTAL DIRECTOR'S SHAREHOLDINGS,"22,662,294",4.5%,"22,580,046",4.5%
,,,,
OTHER INFLUENTIAL SHAREHOLDINGS,,,,
PLATFORM NIGERIA LIMITED.,"21,661,750",4.3%,"21,661,750",4.3%
OLADIRAN FAWIBE - (DIRECT),"20,886,092",4.2%,"20,886,092",4.2%
THE ESTATE OF ASALU AKINTUNDE,"11,110,215",2.2%,"11,110,215",2.2%
NWOBI ERIC N,"12,002,264",2.4%,"1 2,002,264",2.4%
QSTC SERVICES LIMITED,"1 1,199,658",2.2%,"11,199,658",2.2%
OKOLI OBINANI OGBONNIA,"7,884,496",1.6%,"7,884,496",1.6%
AREGBEYEN JOHN BABATUNDE OTUAKHENA,"7,769,547",1.6%,"7,769,547",1.6%
,,,,
TOTAL OTHER INFLUENTIAL SHAREHOLDINGS,"92,514,022",18.6%,"92,514,022",18.6%
,,,,
FREE FLOAT UNITS AND PERCENTAGE,"105,912,075",21.3%,"1 05,994,325",21.3%
FREE FLOAT IN VALUE,"1 21,798,886",,"130,373,020",
