0,1,2
"Name of
Committee",Name of Committee members,"Category (Chairperson / Executive/ Non-
Executive/ Independent/ Nominee)"
Audit Committee,Mr. Oluwaseun Olukoya,Chairman/ Shareholder’s Nominee
,Mr. Olusegun D. Oguntoye,Member/Shareholder’s Nominee
,Mr. Chuks N. Osadinizu,Member/Shareholder’s Nominee
,Mr. Oluwasegun I. Adeoye,Independent Non- Executive Director
,Mr. Adegoke J. Olasoko,Independent Non- Executive Director
"Business
Development,
Finance & General
Purpose
Committee",Mr. Adebayo O. Adeleke,Chairman / Non- Executive Director
,Mr. Kayode O. Ajakaiye,Non- Executive Director
,Ms. Daniella F. Suleman,Non- Executive Director
,Mr. Adegoke J. Olasoko,Independent Non- Executive Director
"Risk Management
and Governance
Committee",Ms. Daniella F. Suleman,Chairman/ Non- Executive Director
,Mr. Adebayo O. Adeleke,Non- Executive Director
,Mr. Kayode O. Ajakaiye,Non- Executive Director
,Mr. Oluwasegun I. Adeoye,Independent Non- Executive Director
