0,1,2,3,4,5
,Authorized,,Issued Share Capital,,
Year,Increase,Cumulative,Increase,Cumulative,Consideration
,,,,,
1985,"100,000","100,000","100,000","100,000",Cash
,"99,900,000","100,000,000",0,"100,000",
2005,"200,000,000","300,000,000",0,"100,000",Cash
,0,"300,000,000","99,900,000","100,000,000",
2007,"2,200,000,000","2,500,000,000","72,106,000","172,106,000",Cash
,"2,500,000,000","5,000,000,000","172,106,000","344,212,000",
2007,0,"5,000,000,000","1,376, 848, 000","1,721,060,000",4 for 1
,,,,,Bonus
,0,"5,000,000,000","2,000,000,000","3,721,060,000",
2008,0,"5,000,000,000","975,000,000","4,696,060,000",Cash
,0,"5,000,000,000",0,"4,696,060,000",
2010,0,"5,000,000,000",0,"4,696,060,000",Cash
,0,"5,000,000,000",0,"4,696,060,000",
2012,0,"5,000,000,000",0,"4,696,060,000",Cash
,0,"5,000,000,000",0,"4,696,060,000",
2014,0,"5,000,000,000",0,"4,696,060,000",Cash
,0,"5,000,000,000",0,"4,696,060,000",
2016,0,"5,000,000,000",0,"4,696,060,000",Cash
,0,"5,000,000,000",0,"4,696,060,000",
2018,0,"5,000,000,000",0,"4,696,060,000",Cash
2019,0,"5,000,000,000",0,"4,696,060,000",Cash
2020,0,"5,000,000,000",0,"4,696,060,000",Cash
2021,0,"5,000,000,000",0,"4,696,060,000",Cash
2022,,,,,
,0,"5,000,000,000",0,"4,696,060,000",Cash
,,,,,
,0,"5,000,000,000",0,"4,696,060,000",Cash
2023,,,,,
