0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,Group,,,,,,,,,,,,,
,,,,Dec-23,,,Dec-23,,,,,,,
,In thousands of Nigerian Naira,,,Pre-tax,,,Post-tax,,,,,,,
,,,,,,,,,,,,,,
,Decrease,,,"(43,219,508)",,,"(33,741,470)",,,"(25,217,194)",,,"(19,687,063)",
,Asset,,,"(58,005,083)",,,"(45,284,568)",,,"(37,979,682)",,,"(29,650,738)",
,Liabilities,,,"14,785,576",,,"11,543,099",,,"12,762,488",,,"9,963,674",
,,,,,,,,,,,,,,
,Increase,,,"43,219,508",,,"33,741,470",,,"25,217,194",,,"19,687,063",
,Asset,,,"58,005,083",,,"45,284,568",,,"37,979,682",,,"29,650,738",
,Liabilities,,,"(14,785,576)",,,"(11,543,099)",,,"(12,762,488)",,,"(9,963,674)",
,,,,,,,,,,,,,,
,Parent,,,,,,,,,,,,,
,,,,Dec-23,,,Dec-23,,,,,,,
,In thousands of Nigerian Naira,,,Pre-tax,,,Post-tax,,,,,,,
,,,,,,,,,,,,,,
,Decrease,,,"(28,324,119)",,,"(22,551,664)",,,"(18,881,662)",,,"(15,033,579)",
,Asset,,,"(39,692,477)",,,"(31,603,150)",,,"(30,035,381)",,,"(23,914,170)",
,Liabilities,,,"11,368,358",,,"9,051,487",,,"11,153,719",,,"8,880,591",
,,,,,,,,,,,,,,
,Increase,,,"28,324,119",,,"22,551,664",,,"18,881,662",,,"15,033,579",
,Asset,,,"39,692,477",,,"31,603,150",,,"30,035,381",,,"23,914,170",
,Liabilities,,,"(11,368,358)",,,"(9,051,487)",,,"(11,153,719)",,,"(8,880,591)",
