0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Group,,,,,,,,,,,,,
,,,,Dec-24,,,Dec-24,,,,,,,
,In thousands of Nigerian Naira,,,Pre-tax,,,Post-tax,,,,,,,
,,,,,,,,,,,,,,
,Decrease,,,"(85,470,417)",,,"(75,828,317)",,,"(43,219,508)",,,"(33,741,470)",
,Asset,,,"(108,913,681)",,,"(96,626,896)",,,"(58,005,083)",,,"(45,284,568)",
,Liabilities,,,"23,443,264",,,"20,798,580",,,"14,785,576",,,"11,543,099",
,,,,,,,,,,,,,,
,Increase,,,"85,470,417",,,"75,828,317",,,"43,219,508",,,"33,741,470",
,Asset,,,"108,913,681",,,"96,626,896",,,"58,005,083",,,"45,284,568",
,Liabilities,,,"(23,443,264)",,,"(20,798,580)",,,"(14,785,576)",,,"(11,543,099)",
,,,,,,,,,,,,,,
,Parent,,,,,,,,,,,,,
,,,,Dec-24,,,Dec-24,,,Dec-23,,,Dec-23,
,In thousands of Nigerian Naira,,,Pre-tax,,,Post-tax,,,,,,,
,,,,,,,,,,,,,,
,Decrease,,,"(57,812,965)",,,"(53,766,057)",,,"(28,324,119)",,,"(22,551,664)",
,Asset,,,"(74,027,623)",,,"(68,845,689)",,,"(39,692,477)",,,"(31,603,150)",
,Liabilities,,,"16,214,658",,,"15,079,632",,,"11,368,358",,,"9,051,487",
,,,,,,,,,,,,,,
,Increase,,,"57,812,965",,,"53,766,057",,,"28,324,119",,,"22,551,664",
,Asset,,,"74,027,623",,,"68,845,689",,,"39,692,477",,,"31,603,150",
,Liabilities,,,"(16,214,658)",,,"(15,079,632)",,,"(11,368,358)",,,"(9,051,487)",
