0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
S/N,DIRECTORS,,,BOARD,,,"BOARD RISK
MANAGEMENT
AND
INVESTMENT
COMMITTEE",,,"BOARD
AUDIT
COMMITTEE
N C",,,"R
O",BOARD,,BOARD I.T. STRATEGY
,,,,,,,,,,,,,,"GOVERNANCE,",,
,,,,,,,,,,,,,,NOMINATIONS,,
,,,,,,,,,,,,,,AND,,
,,,,,,,,,,,,,,EMUNERATIO,,
,,,,,,,,,,,,,,MMITTEE,,
,,DATE OF MEETINGS,,,28-Jan-2025,,,27-Jan-2025,,,27-Jan-2025,,,27-Jan-2025,,28-Apr-2025
,,,,,29-Apr-2025,,,28-Apr-2025,,,28-Apr-2025,,,28-Apr-2025,,
,"NUMBER OF
MEETINGS",,,2,,,2,,,2,,,2,,,1
1,Mr. S. Barau1,,,2,,,N/A,,,2,,,2,,,N/A
2,Mr. H. A. Oyinlola2,,,2,,,N/A,,,N/A,,,N/A,,,N/A
3,Mr. J. K. O Agbaje,,,2,,,2,,,N/A,,,N/A,,,1
4,Mrs. H. L. Bouygues3,,,1,,,1,,,1,,,1,,,Nil
5,Mrs. C. N. Echeozo,,,2,,,2,,,2,,,2,,,1
6,Mr. B. Soyoye4,,,Nil,,,N/A,,,Nil,,,Nil,,,N/A
7,Mr. A. I. Adeniyi,,,2,,,2,,,N/A,,,N/A,,,N/A
