0,1,2,3,4,5,6,7,8,9
"4.1.3Valuation techniques used to derive Level 2 fair values
Level 2 fair values of investments have been generally derived using the market approach. Below is a table showing sensitivity analysis of material unquoted investments categorised as Level 2 fair values.
Description Fair value at 31 Valuation Technique Observable Inputs Fair value if inputs Fair value if inputs Relationship of
December 2023 increased by 5% decreased by 5% observable inputs to
fair value",,,,,,,,,
,Description,"Fair value at 31
December 2023",Valuation Technique,,Observable Inputs,,"Fair value if inputs
increased by 5%","Fair value if inputs
decreased by 5%","Relationship of
observable inputs to
fair value"
,"Derivative financial
assets","2,174,363","Forward and swap: Fair value through
market rate from a quoted market
Futures: Fair value through reference
market rate",,Market rates from quoted market,,"1,583,630","1,587,821","Thehigherthemarket
rate,thehigherthefair
valueofthederivative
financial instrument"
,"Derivative financial
liabilities","471,821",,,,,,,
,Investment in CSCS,"7,440","The market value is obtained from the
National Assosciation Of Securities
Dealers (NASD) as at the reporting
year",,Share price from NASD,,"7 ,812","7,142","The higher the share
price, the higher the fair
value"
,"Nigerian Mortgage
Refinance Company",3 06,"The market value is obtained from the
National Assosciation Of Securities
Dealers (NASD) as at the reporting
year",,Share price from NASD,,321,2 90,"The higher the share
price, the higher the fair
value"
"4.1.4Valuation techniques used to derive Level 3 fair values
Level3fairvaluesofinvestmentshavebeengenerallyderivedusingtheadjustedfairvaluecomparisonapproach.Quotedpriceperearningorpriceperbookvalue,enterprisevaluetoEBITDAratiosofcomparableentitiesin
asimilarindustrywereobtainedandadjustedforkeyfactorstoreflectestimatedratiosoftheinvestmentbeingvalued.AdjustingfactorsusedaretheIlliquidityDiscountwhichassumesareducedearningonaprivateentity
incomparisontoapubliclyquotedentityandtheHaircutadjustmentwhichassumesareducedearningforanentitylocatedinNigeriacontributedbylowertransactionlevelsincomparisontoanentityinadevelopedor
emerging market.
Description Fair value at 31 Valuation Observable Fair value if Fair value if Fair value if Fair value if Relationship of
December 2023 Technique Inputs inputs increased inputs decreased unobservable inputs unobservable inputs unobservable inputs
by 5% by 5% increased by 5% decreased by 5% to fair value",,,,,,,,,
,Description,"Fair value at 31
December 2023","Valuation
Technique","Observable
Inputs","Fair value if
inputs increased
by 5%","Fair value if
inputs decreased
by 5%","Fair value if
unobservable inputs
increased by 5%","Fair value if
unobservable inputs
decreased by 5%","Relationship of
unobservable inputs
to fair value"
,"Investment in Africa
Finance Corporation","3 33,769","Adjusted fair value
comparison
approach","Median P/B
multiples of
comparable
companies","350,457","317,081","329,360","338,178","The higher the
illiquidity ratio, the
control premium and
the size
adjustment/haircut, the
higher the fair value"
,"Investment in Unified
Payment System
Limited","8,247","Adjusted fair value
comparison
approach","Median PE
ratios of
comparable
companies","7,893","7,142","8,138","8,356","The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
,Investment in NIBSS,"36,109","Adjusted fair value
comparison
approach","Median P/B
multiples of
comparable
companies","37,915","34,304","35,632","36,587","The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
,"Investment in
Afrexim","1,108","Adjusted fair value
comparison
approach","Median P/B
multiples of
comparable
companies","1,163","1,052","1,102","1,113","The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
,Investment in FMDQ,"7 ,783","Adjusted fair value
comparison
approach","Average P/B
multiples of
comparable
companies","8,172","7,394","7,635","7,930","The higher the
illiquidity ratio and the
earnings per share
haircut adjustment the
higher the fair value"
,"Investment in CRC
Bureau",3 11,"Adjusted fair value
comparison
approach","Median P/B
multiples of
comparable
companies",327,296,307,315,"The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
,"Capital Alliance
Equity Fund","7,154","Adjusted fair
value comparison
approach","Median P/B
multiples of
comparable
companies","7,512","6,797","7,512","6,797","The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
,NG Clearing,4 34,"Adjusted fair value
comparison
approach","Median P/B
multiples of
comparable
companies",456,412,431,437,"The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
,SANEF,5 0,"Adjusted fair value
comparison
approach","Fair value of
transactions at
settlement date",53,48,53,48,"The higher the
illiquidity ratio and the
size
adjustment/haircut, the
lower the fair value"
