0,1,2,3,4,5,6,7
"Financial Financial Financial Financial Financial Financial Total carrying Fair value
assets assets assets assets liabilities liabilities amount
designated as mandatorily measured at measured at mandatorily measured at amortised
FVPL measured amortized cost FVOCI measured cost
through FVPL through FVPL
Group
In millions of Naira
December 2022
Cash and balances with banks - - 1,969,783 - - - 1,969,783 1,969,783",,,,,,,
"Investment under management - - 3 9,502",,,,,,-,"- - 3 9,502 3 9,502"
Non pledged trading assets - - - - -,,,,,,,
Treasury bills,,,,-,"8 8,116 - - - - 88,116 88,116",,
"Bonds - 12,280 - - - - 1 2,280 1 2,280
Equity - 2,294 - - - - 2 ,294 2 ,294
Derivative financial instruments - 402,497 - - - - 4 02,497 4 02,497
Loans and advances to banks - - 455,709 - - - 455,709 455,709
Loans and advances to customers - - 5 ,100,807 - - - 5 ,100,807 5 ,100,807
Pledged assets -
Treasury bills - 72,565 296,061 4 51,476 - - 820,102 820,102
Government bonds - 2 ,567 411,582 - - - 414,150 414,150
Promissory Notes - - 3 2,639 - - - 3 2,639 3 2,639
Investment securities - - - - - - -
- Financial assets at FVOCI
Treasury bills - - - 1,046,120 - - 1,046,120 1,046,120",,,,,,,
,"Government Bonds
State government bonds
Corporate bonds
Eurobonds
Commercial paper
Promissory Notes","- - - 168,293 - - 1 68,293 1 68,293
- - - 6 5,652 - - 6 5,652 6 5,652
- - - 20,599 - - 20,599 20,599
- - - 4 1,695 - - 4 1,695 4 1,695
- - - 3,869 3 ,869 20,599
- - - 2 17,305 - - 2 17,305 2 17,305",,,,,
"- Financial assets at FVPL
Equity - 1 67,906 - - - - 1 67,906 1 67,906
- Financial assets at amortised cost
Treasury bills - - 1 92,795 - - - 1 92,795 1 92,795
Total Return Notes - - - - - - - -
Government bonds - - 437,679 - - - 437,679 437,679
State government bonds - - 4 ,734 - - - 4 ,734 4 ,734
Corporate bonds - - 7,579 - - - 7,579 7,579
Eurobonds - - 4 20,119 - - - 4 20,119 4 20,119",,,,,,,
,Promissory Notes,"- - 3 7,762 - - - 3 7,762 3 7,762",,,,,
"Other assets - - 2 ,395,033 - - - 2 ,395,033 2 ,395,033",,,,,,,
,,,,"- 7 48,226 11,801,784 2,015,011 - - 1 4,565,022 14,581,753",,,
"Deposits from financial institutions - - - - - 2 ,005,316 2,005,316 2,005,316
Deposits from customers - - - - - 9 ,251,238 9,251,238 9,251,238
Other liabilities - - - - - 7 58,464 758,464 758,464
Derivative financial instruments - - - - 3 2,737 - 3 2,737 3 2,737
Debt securities issued - - - - - 307,253 3 07,253 3 07,253
Interest bearing borrowings - - - - - 1 ,385,424 1,385,424 1 ,390,029
- - - - 32,737 13,707,695 1 3,740,431 13,745,036
The Group reclassified Cash reserve requirement, classified as restricted deposits with Central banks and special reserve intervention funds, from Cash and cash equivalents to Other assets for financial reporting purposes.",,,,,,,
