0,1,2,3,4,5,6,7,8,9
"4.1.4Valuation techniques used to derive Level 3 fair values
Level3fairvaluesofinvestmentshavebeengenerallyderivedusingtheadjustedfairvaluecomparisonapproach.Quotedpriceperearningorpriceperbookvalue,enterprisevaluetoEBITDAratiosofcomparableentitiesina
similarindustrywereobtainedandadjustedforkeyfactorstoreflectestimatedratiosoftheinvestmentbeingvalued.AdjustingfactorsusedaretheIlliquidityDiscountwhichassumesareducedearningonaprivateentityin
comparisontoapubliclyquotedentityandtheHaircutadjustmentwhichassumesareducedearningforanentitylocatedinNigeriacontributedbylowertransactionlevelsincomparisontoanentityinadevelopedoremerging
market.
Description Fair value at 30 Valuation Unobservable Fair value if Fair value if Fair value if Fair value if Relationship of
June 2025 Technique Inputs inputs inputs decreased unobservable unobservable inputs unobservable inputs to fair
N'000 increased by 5% by 5% inputs increased by decreased by 5% value
N'000 N'000 5% N'000
N'000",,,,,,,,,
,Description,"Fair value at 30
June 2025
N'000","Valuation
Technique","Unobservable
Inputs","Fair value if
inputs
increased by 5%
N'000","Fair value if
inputs decreased
by 5%
N'000","Fair value if
unobservable
inputs increased by
5%
N'000","Fair value if
unobservable inputs
decreased by 5%
N'000","Relationship of
unobservable inputs to fair
value"
,"Investment in Africa
Finance Corporation","6 79,466","Adjusted fair value
comparison
approach","Average P/B
multiples of
comparable
companies","713,439","645,493","668,404","690,529","The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,"Investment in Unified
Payment System
Limited","1 4,359","Adjusted fair value
comparison
approach","Average P/B
ratios of
comparable
companies","13,742","12,434","14,169","14,548","The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,Investment in NIBSS,"2 8,251","Adjusted fair value
comparison
approach","Average P/B
ratios of
comparable
companies","29,664","26,838","27,878","28,624","The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,"Investment in
Afrexim","2 ,518","Adjusted fair value
comparison
approach","Average P/B
ratios of
comparable
companies","2,644","2,393","2,485","2,552","The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,Investment in FMDQ,"1 1,135","Adjusted fair value
comparison
approach","Average P/B
multiples of
comparable
companies","11,692","10,578","10,924","11,346","The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,"Investment in CRC
Bureau",606,"Adjusted fair value
comparison
approach","Average P/B
ratios of
comparable
companies",637,576,598,614,"The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,"Capital Alliance
Equity Fund","1 1,206","Adjusted fair
value comparison
approach","Average P/B
ratios of
comparable
companies","11,766","10,645","11,766","10,645","The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,NG Clearing,4 62,"Adjusted fair value
comparison
approach","Average P/B
ratios of
comparable
companies",485,439,459,465,"The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
,SANEF,5 0,"Adjusted fair value
comparison
approach","Fair value of
transactions at
settlement date",53,48,53,48,"The higher the control premium,
the lower the illiquidity discount
and the size adjustment/haircut,
the higher the fair value."
