0,1,2,3,4
UBA Uganda Limited,,UBA Kenya Bank Limited,,UBA Senegal (SA)
Jun. 2025,Dec. 2024,Jun. 2025,Dec. 2024,Jun. 2025
"87,922
224,446
11,644","57,813
181,845
10,445","94,272
81,509
10,704","100,364
55,350
8,422","198,387
1,005,275
27,993"
"324,013","250,103","186,484","164,136","1,231,655"
"248,181
5,831","177,997
5,806","150,712
18,077","125,718
20,516","1,097,548
23,151"
"254,011","183,803","168,789","146,234","1,120,699"
"70,002","66,300","17,695","17,902","110,956"
Jun. 2025,Dec. 2024,Jun. 2025,Dec. 2024,Jun. 2025
"14,972","32,398","8,129","20,670","62,298"
"2,169","2,695",(4),"(6,421)","22,221"
"2,169","2,695",(4),"(6,421)","22,221"
427,,(0),,"3,002"
