0,1,2,3,4,5
Name of Director Classification,"Board Audit,
Governance,
Nomination &
Remuneration
Committee","Board Credit
Committee","Board Risk
Management
Committee","Board Operations & Technology
Committee","Finance &
General
Purpose
Committee"
"Mr. Tony O. Elumelu, (CFR) Board Chairman (NED) - - - - -",,,,,
Mr. Oliver Alawuba Group Managing Director/CEO - - Member - Member,,,,,
Mr. Muyiwa Akinyemi Deputy Managing Director - - - - Member [1],,,,,
Mr. Chukwuma Nweke Deputy Managing Director - - - Member [1] Member [2],,,,,
"Mr. Ugochukwu Nwaghodoh Executive Director, Finance and Risk - - Member - Member
Management",,,,,
"Mr. Alex Alozie Executive Director, Abuja & North Central - - - Member [1] -",,,,,
"Mrs. Abiola Bawuah Executive Director, Lagos 2 & West Bank - - - - Member [1]",,,,,
"Ms. Sola Yomi-Ajayi Executive Director/CEO, UBA Africa 1 - - Member -",,,,,
Ms. Angela Aneke Independent Non-Executive Director Chairman Member - -,,,,,
Erelu Angela Adebayo Non-Executive Director Member - Member [3] Member [1] Member [2],,,,,
"Mr. Abdulqadir Bello, (FCA) Non-Executive Director Member Chairman - - -",,,,,
"Ms. Aisha Hassan-Baba, (OON) Independent Non-Executive Director Member - - Member [2]",,,,,
Mrs. Caroline Anyanwu Non-Executive Director - Member Chairman - -,,,,,
Mr. Emmanuel N. Nnorom Non-Executive Director - - Member Chairman,,,,,
Mrs. Henrietta Ugboh Independent Non-Executive Director - Member Member [2] Chairman -,,,,,
