0,1,2,3,4,5,6,7
Headline,Shareholders,,,,Holdings,,
Range,,Count,"Cumulative
Count",Count (%),"Aggregate
Holdings","Cumulative
Holdings","Aggregate
Holdings (%)"
"1 – 1,000",,"35,238","35,238",12.70,"15,684,716","15,684,716",0.05
"1,001 – 5,000",,"120,860","156,098",43.57,"301,918,271","317,602,987",0.88
"5,001 – 10,000",,"44,772","200,870",16.14,"306,858,895","624,461,882",0.90
"10,001 – 50,000",,"53,914","254,784",19.44,"1,125,981,804","1,750,443,686",3.29
"50,001 – 100,000",,"10,693","265,477",3.86,"726,102,933","2,476,546,619",2.12
"100,001 – 500,000",,"8,970","274,447",3.23,"1,844,894,476","4,321,441,095",5.39
"500,001 – 1,000,000",,"1,312","275,759",0.47,"927,369,322","5,248,810,417",2.71
"1,000,001 – 5,000,000",,"1,215","276,974",0.44,"2,447,628,718","7,696,439,135",7.16
"5,000,001 – 10,000,000",,164,"277,138",0.07,"1,115,330,255","8,811,769,390",3.26
"10,000,001 – 50,000,000",,157,"277,295",0.06,"3,214,869,860","12,026,639,250",9.40
"50,000,001 – 100,000,000",,20,"277,315",0.01,"1,341,932,372","13,368,571,622",3.92
"100,000,001 – 500,000,000",,36,"277,351",0.01,"10,634,993,498","24,003,565,120",3 1.10
"500,000,001 – 1,000,000,000",,5,"277,356",0.00,"3,151,439,463","27,155,004,583",9.21
"1,000,000,001 and Above",,5,"277,361",0.00,"7,044,416,783","34,199,421,366",2 0.60
TOTAL,,"277,361",,100.00,"34,199,421,366",,100
