0
Company
"2023 2022 2021 2020 2019
144,912 144,912 144,912 144,912 144,912
635,074 635,074 635,074 635,074 635,074
2,751,415 2,543,459 2,450,717 2,366,986 2,293,414"
"3,531,401 3,323,445 3,230,703 3,146,972 3,073,400
2,056,868 1,690,196 1,439,061 1,328,867 1,465,725
1,022,701 514,887 440,905 496,033 527,324"
"6,610,970 5,528,528 5,110,669 4,971,872 5,066,449"
"2,897,482 2,883,117 3,064,279 3,212,821 3,292,840
3,713,488 2,645,411 2,046,390 1,759,051 1,773,609"
"6,610,970 5,528,528 5,110,669 4,971,872 5,066,449"
"2023 2022 2021 2020 2019
7,910,181 6,331,634 4,964,796 3,837,582 3,584,804
799,783 387,790 190,761 211,850 551,561
799,783 355,579 178,089 210,903 533,099
468,797 208,670 135,635 146,028 448,733
- - - - -
260,841 115,929 115,929 72,456 188,385
162 72 47 50.00 47
20 - - - -
70 40 40 25 40
12 11 11 11 11"
