0,1,2,3,4
Description,31 March 2025,,31 December 2024,
,Unit,Percentage,Unit,Percentage
Issued Share Capital,"289,823,447",1 00.00,"289,823,447",100.00
Substantial Shareholdings (5% and above):,,,,
JUREWA INVESTMENTS LIMITED,"17,670,573",6.10,"17,670,573",6 .10
HARMONY TRUST & INVT. CO LTD.,"20,000,000",6.90,"20,000,000",6 .90
ALEMAJE AND COMPANY LIMITED,"16,315,506",5.63,"16,315,506",5 .63
CAB (OVERSEAS HOLDINGS) LIMITED,"16,315,506",5.63,"16,315,506",5 .63
MIKEADE INVESTMENTS LIMITED,"19,196,095",6.62,"19,196,095",6 .62
Total Substantial Shareholdings,"8 9,497,680",30.88,"8 9,497,680",3 0.88
,,,,
"Directors Shareholdings (Direct & Indirect, excluding Directors with Substantial Interests",,,,
MR. ABI AYIDA,"6 25,601",0.22,"6 25,601",0 .22
MR. RAJ MANGTANI,-,-,-,-
MR. ADEKUNLE OLUROTIMI OLOWOKANDE,"1 97,965",0.07,"1 97,965",0 .07
MRS. OGECHI IHEANACHO,"1 00,000",0.03,"1 00,000",0 .03
MRS. EREJUWA GBADEBO,-,-,-,-
MRS. ALABA FAGUN,-,-,-,-
MRS. AISHA UMAR,-,-,-,-
Total Directors' Shareholdings,"923,566",0.32,"923,566",0.32
,,,,
FREE FLOAT IN UNITS & PERCENTAGE,"1 99,402,201",68.80,"1 99,402,201",6 8.80
FREE FLOAT IN VALUE (N),"3,758,731,489",,"3,988,044,020",
